idClasificacion,año,clasificacion,idGrupo,convocatoria
1,2006,,1,2006
2,2006,,2,2006
3,2006,,3,2006
4,2006,A,4,2006
5,2006,,5,2006
6,2006,,6,2006
7,2006,,7,2006
8,2006,,8,2006
9,2006,,9,2006
10,2006,,10,2006
11,2006,A,11,2006
12,2006,,12,2006
13,2006,,13,2006
14,2006,,14,2006
15,2008,,1,2008
16,2008,D,2,2008
17,2008,C,3,2008
18,2008,C,4,2008
19,2008,,5,2008
20,2008,,6,2008
21,2008,D,7,2008
22,2008,D,8,2008
23,2008,D,9,2008
24,2008,,10,2008
25,2008,C,11,2008
26,2008,,12,2008
27,2008,D,13,2008
28,2008,D,14,2008
29,2010,,1,2010
30,2010,D,2,2010
31,2010,C,3,2010
32,2010,B,4,2010
33,2010,,5,2010
34,2010,D,6,2010
35,2010,C,7,2010
36,2010,D,8,2010
37,2010,B,9,2010
38,2010,,10,2010
39,2010,D,11,2010
40,2010,Registr,12,2010
41,2010,D,13,2010
42,2010,D,14,2010
43,2013,B,1,2013
44,2013,D,2,2013
45,2013,C,3,2013
46,2013,C,4,2013
47,2013,B,5,2013
48,2013,D,6,2013
49,2013,C,7,2013
50,2013,A,8,2013
51,2013,D,9,2013
52,2013,,10,2013
53,2013,C,11,2013
54,2013,C,12,2013
55,2013,C,13,2013
56,2013,D,14,2013
57,2014,C,1,2014
58,2014,C,2,2014
59,2014,B,3,2014
60,2014,C,4,2014
61,2014,B,5,2014
62,2014,C,6,2014
63,2014,B,7,2014
64,2014,B,8,2014
65,2014,D,9,2014
66,2014,,10,2014
67,2014,C,11,2014
68,2014,D,12,2014
69,2014,C,13,2014
70,2014,C,14,2014
71,2015,B,1,2015
72,2015,D,2,2015
73,2015,B,3,2015
74,2015,B,4,2015
75,2015,A,5,2015
76,2015,B,6,2015
77,2015,B,7,2015
78,2015,B,8,2015
79,2015,C,9,2015
80,2015,,10,2015
81,2015,B,11,2015
82,2015,C,12,2015
83,2015,C,13,2015
84,2015,C,14,2015
85,2016,B,1,2016
86,2016,C,2,2016
87,2016,B,3,2016
88,2016,B,4,2016
89,2016,A,5,2016
90,2016,B,6,2016
91,2016,C,7,2016
92,2016,B,8,2016
93,2016,Sin categoria,9,2016
94,2016,,10,2016
95,2016,B,11,2016
96,2016,B,12,2016
97,2016,B,13,2016
98,2016,C,14,2016
99,2017,B,1,2017
100,2017,C,2,2017
101,2017,B,3,2017
102,2017,B,4,2017
103,2017,A,5,2017
104,2017,B,6,2017
105,2017,C,7,2017
106,2017,B,8,2017
107,2017,Sin categoria,9,2017
108,2017,Sin categoria,10,2017
109,2017,B,11,2017
110,2017,B,12,2017
111,2017,B,13,2017
112,2017,C,14,2017
113,2018,B,1,2018
114,2018,C,2,2018
115,2018,A,3,2018
116,2018,B,4,2018
117,2018,A1,5,2018
118,2018,A,6,2018
119,2018,C,7,2018
120,2018,B,8,2018
121,2018,B,9,2018
122,2018,C,10,2018
123,2018,C,11,2018
124,2018,A,12,2018
125,2018,A,13,2018
126,2018,B,14,2018
127,2021,C,1,2021
128,2021,A,2,2021
129,2021,A,3,2021
130,2021,B,4,2021
131,2021,A1,5,2021
132,2021,A,6,2021
133,2021,A,7,2021
134,2021,A,8,2021
135,2021,B,9,2021
136,2021,C,10,2021
137,2021,A,11,2021
138,2021,A,12,2021
139,2021,A,13,2021
140,2021,A,14,2021
141,2025,A1,1,2025
142,2025,A1,2,2025
143,2025,A1,3,2025
144,2025,A1,4,2025
145,2025,A1,5,2025
146,2025,A1,6,2025
147,2025,A,7,2025
148,2025,A1,8,2025
149,2025,C,9,2025
150,2025,A1,11,2025
151,2025,A1,12,2025
152,2025,B,13,2025
153,2025,A,14,2025
154,2026,A1,1,2025
155,2026,A1,2,2025
156,2026,A1,3,2025
157,2026,A1,4,2025
158,2026,A1,5,2025
159,2026,A1,6,2025
160,2026,A,7,2025
161,2026,A1,8,2025
162,2026,C,9,2025
163,2026,A1,11,2025
164,2026,A1,12,2025
165,2026,B,13,2025
166,2026,A,14,2025
