id,id_grupo,nombre,vinculacion,horas_dedicacion,inicio_vinculacion,fin_vinculacion,url_x,grupo 2,clasificación,posgrade,id_scholar,orcid,h_index,articulos,softwares,trabajos_dirigidos,capitulos,libros,innovaciones
0001,001,LUIS FERNANDO CARDONA PALACIO,Integrante,4,2014-7-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001472696,,Investigador Senior (IS),Doctorado,hOgH7HAAAAAJ,0000-0002-6526-9508,9.0,49,0,8,3,1,0
0002,001,VICTOR DANIEL GIL VERA,Integrante,10,2014-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001482462,NEUROCIENCIAS BÁSICAS Y APLICADAS,Investigador Senior (IS),Doctorado,1-4BHH8AAAAJ,0000-0003-3895-4822,10.0,60,17,36,18,12,8
0003,001,ANDRES FELIPE MARIN MIRANDA,Integrante,0,2024-6-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002172460,,Sin clasificar,Maestría/Magister,,,,0,0,0,0,0,0
0004,001,ANDRES MAURICIO GRISALES AGUIRRE,Integrante,3,2015-11-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001436256,,Investigador Junior (IJ),Doctorado,-urmP7EAAAAJ,0000-0002-4385-4474,6.0,19,3,16,1,3,0
0005,001,CHRISTIAN CASALLAS BENITEZ,Integrante,0,2025-6-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001831012,,Sin clasificar,Maestría/Magister,,,,0,1,0,0,0,0
0006,001,DIEGO ALEJANDRO ROBLEDO MEJIA,Integrante,5,2024-5-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002207989,,Sin clasificar,Maestría/Magister,,,,0,0,0,0,0,0
0007,001,DURLEY CECILIA LOPEZ ALZATE,Integrante,4,2025-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001400379,,Investigador Junior (IJ),Doctorado,,,,1,5,12,0,1,0
0008,001,FRANKLIN FERRARO GOMEZ,Integrante,6,2013-7-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000651532,,Investigador Junior (IJ),Doctorado,DNeZOJUAAAAJ,0000-0002-9996-8964,13.0,34,0,1,0,0,0
0009,001,INGRID DURLEY TORRES PARDO,Integrante,10,2018-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001404075,,Investigador Senior (IS),Doctorado,nchHazIAAAAJ,0000-0003-4503-7512,8.0,14,32,22,10,0,0
0010,001,JUAN CARLOS BRINEZ DE LEON,Integrante,5,2024-5-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001539595,,Investigador Asociado (I),Doctorado,,,,23,1,35,0,0,1
0011,001,JUAN SEBASTIAN PARRA SANCHEZ,Integrante,5,2020-5-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000072898,"EDUCACIÓN, INFANCIA Y LENGUAS EXTRANJERAS",Investigador Junior (IJ),Doctorado,-84PbicAAAAJ,0009-0006-2146-6098,2.0,7,5,15,0,0,0
0012,001,MARIA JULIA NIETO CALLEJAS,Integrante,4,2018-8-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000005825,,Sin clasificar,Doctorado,XuxhAV0AAAAJ,0000-0001-5851-4053,2.0,4,0,9,2,0,0
0013,001,MAURICIO LOPEZ BONILLA,Integrante,6,2011-6-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001381737,,Investigador Junior (IJ),Doctorado,lQqAfmwAAAAJ,0000-0002-4610-8215,6.0,8,5,2,1,2,0
0014,001,PAOLA MARCELA ALZATE MONTOYA,Integrante,4,2021-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000116945,GESNE,Investigador Junior (IJ),Doctorado,6vDrM-8AAAAJ,0000-0001-5406-3355,2.0,26,0,5,5,1,0
0015,002,DANY STEVEN GOMEZ AGUDELO,Integrante,10,2019-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000107135,,Investigador Asociado (I),Maestría/Magister,YaysRIIAAAAJ,0000-0003-2687-0146,3.0,7,0,43,16,0,0
0016,002,ANA MARIA ROLDAN VILLA,Integrante,2,2021-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001863552,,Investigador Junior (IJ),Maestría/Magister,,,,7,0,27,4,1,0
