id,id_grupo,categoria,producto,tipologia
00001,001,ACTIVIDADES COMO EVALUADOR,No tiene,4
00002,002,ACTIVIDADES COMO EVALUADOR,No tiene,4
00003,003,ACTIVIDADES COMO EVALUADOR,No tiene,4
00004,004,ACTIVIDADES COMO EVALUADOR,No tiene,4
00005,005,ACTIVIDADES COMO EVALUADOR,No tiene,4
00006,006,ACTIVIDADES COMO EVALUADOR,No tiene,4
00007,007,ACTIVIDADES COMO EVALUADOR,No tiene,4
00008,008,ACTIVIDADES COMO EVALUADOR,No tiene,4
00009,009,ACTIVIDADES COMO EVALUADOR,No tiene,4
00010,010,ACTIVIDADES COMO EVALUADOR,No tiene,4
00011,011,ACTIVIDADES COMO EVALUADOR,No tiene,4
00012,012,ACTIVIDADES COMO EVALUADOR,No tiene,4
00013,013,ACTIVIDADES COMO EVALUADOR,No tiene,4
00014,014,ACTIVIDADES COMO EVALUADOR,No tiene,4
