id,id_grupo,categoria,producto,tipologia
00001,001,ACTIVIDADES DE FORMACIÓN,No tiene,4
00002,002,ACTIVIDADES DE FORMACIÓN,No tiene,4
00003,003,ACTIVIDADES DE FORMACIÓN,No tiene,4
00004,004,ACTIVIDADES DE FORMACIÓN,No tiene,4
00005,005,ACTIVIDADES DE FORMACIÓN,No tiene,4
00006,006,ACTIVIDADES DE FORMACIÓN,No tiene,4
00007,007,ACTIVIDADES DE FORMACIÓN,No tiene,4
00008,008,ACTIVIDADES DE FORMACIÓN,No tiene,4
00009,009,ACTIVIDADES DE FORMACIÓN,No tiene,4
00010,010,ACTIVIDADES DE FORMACIÓN,No tiene,4
00011,011,ACTIVIDADES DE FORMACIÓN,No tiene,4
00012,012,ACTIVIDADES DE FORMACIÓN,No tiene,4
00013,013,ACTIVIDADES DE FORMACIÓN,No tiene,4
00014,014,ACTIVIDADES DE FORMACIÓN,No tiene,4
