id,id_grupo,categoria,tipo_producto,titulo,pais_revista,revista,ano,autores,ISSN,tipologia,cuartil_scimago,categoria_publindex,ano_fuente_cuartil,ano_fuente_publindex
00299,002,Artículos publicados,Publicado en revista especializada,Reparación Colectiva y Simbólica en Colombia,Colombia,Academia & Derecho.   Revista Semestral,2026,"ELVIGIA CARDONA ZULETA, ANA MARIA ROLDAN VILLA",22158944,1,No indexada en Scopus,B,,2023
00727,005,Artículos publicados,Publicado en revista especializada,Mindfulness as a mediator between psychological distress and well-being among university students,Reino Unido,PSYCHOLOGY HEALTH MEDICINE,2026,"ANYERSON STITHS GOMEZ TABARES, JORGE EMIRO RESTREPO CARVAJAL, ROSA MARTHA MEDA LARA, PEDRO JUAREZ RODRIGUEZ",13548506,1,Q2,A2,2025,2022
01516,009,Artículos publicados,Publicado en revista especializada,Papel del apoyo social y el funcionamiento familiar en el desarrollo del Ikigai (propósito en la vida) en adultos mayores colombianos-Jhon Moreno,Venezuela,GACETA MEDICA DE CARACAS,2026,"GLORIA AMPARO RAMOS DORIA, LIVIA DIAZ GONZALEZ",27390012,1,Q4,No clasificada en Publindex,2025,
01623,011,Artículos publicados,Publicado en revista especializada,Análisis de los enfoques emergentes sobre salud mental en Latinoamérica,Colombia,Psicoespacios,2026,"MANUEL EDUARDO LOPEZ GARCIA, JUAN PABLO MENJURA ACOSTA, DUBIS MARCELA RINCON BARRETO",21452776,1,No indexada en Scopus,C,,2017
01624,011,Artículos publicados,Corto (Resumen),Neurobiología del trastorno dismórfico corporal,Colombia,Revista Poliantea,2026,DUBIS MARCELA RINCON BARRETO,21453101,1,No indexada en Scopus,No clasificada en Publindex,,
01625,011,Artículos publicados,Publicado en revista especializada,REPRESENTACIONES SOCIALES DE SALUD MENTAL EN LÍDERES DE UNA ORGANIZACIÓN COMUNITARIA EN MEDELLÍN (COLOMBIA),Colombia,Investigación & Desarrollo,2026,"JUAN PABLO MENJURA ACOSTA, MANUEL EDUARDO LOPEZ GARCIA",20117574,1,No indexada en Scopus,C,,2023
01626,011,Artículos publicados,Publicado en revista especializada,Propiedades psicométricas de una escala de riesgo para la ortorexia nerviosa,Colombia,Revista Poliantea,2026,"LUISA FERNANDA CORREA PEREZ, KATERINE RESTREPO GOMEZ, OLBER EDUARDO ARANGO TOBON, DANIEL SIERRA CORRALES, DUBIS MARCELA RINCON BARRETO",21453101,1,No indexada en Scopus,No clasificada en Publindex,,
01627,011,Artículos publicados,Publicado en revista especializada,"Factores psicosociales, afectivos y de violencia intrafamiliar asociados al comportamiento suicida",Colombia,Revista Informes Psicológicos,2026,"OMAR AUGUSTO AMADOR SANCHEZ, CESAR ANDRES CARMONA CARDONA, LEIDYS HELENA RIVERA QUIROZ, DAVID IGNACIO MOLINA VELASQUEZ, DUBIS MARCELA RINCON BARRETO",24223271,1,No indexada en Scopus,B,,2023
01628,011,Artículos publicados,Publicado en revista especializada,"Factores psicosociales, afectivos y de violencia intrafamiliar asociados al comportamiento suicida",Colombia,Revista Informes Psicológicos,2026,"OMAR AUGUSTO AMADOR SANCHEZ, CESAR ANDRES CARMONA CARDONA, LEIDYS HELENA RIVERA QUIROZ, DUBIS MARCELA RINCON BARRETO, DAVID IGNACIO MOLINA VELASQUEZ",01244906,1,No indexada en Scopus,No clasificada en Publindex,,
00725,005,Artículos publicados,Publicado en revista especializada,"Facial attractiveness increases the likelihood of choosing a psychotherapist, irrespective of sexual preferences and perceived trustworthiness",,PSYCHOTHERAPY RESEARCH,2026,JULIO ANTONIO OLIVERA LA ROSA,10503307,1,Q1,A1,2025,2022
