id,id_grupo,categoria,tipo_producto,titulo,pais,ano,titulo_libro,autores,tipologia
00001,001,Capítulos de libro publicados,Capítulo de libro,Machine Learning for Cybersecurity: Detection of Phishing Emails and Malicious Messages,Suiza,2026,Developments and Advances in Defense and Security. MICRADS 2025. Smart Innovation,VICTOR DANIEL GIL VERA,1
00002,001,Capítulos de libro publicados,Capítulo de libro,Artifcial Neural Network for the Prediction of Depression Derived from COVID-19 Among Colombian College Students,Estados Unidos,2023,Psychology and Covid-19 in the Americas: Volume 2,"VICTOR DANIEL GIL VERA, CATALINA QUINTERO LOPEZ, RODRIGO MAZO ZEA",1
00003,001,Capítulos de libro publicados,Capítulo de libro,"Capitulo V: Estado del arte sobre interactividad para evaluar contenidos interactivos, ¿Lo que hay es suficiente?",Colombia,2023,Entornos de Aprendizaje Innovadores (digital),"LINA MARIA MONTOYA SUAREZ, ROBERTO CARLOS GUEVARA CALUME",1
00004,001,Capítulos de libro publicados,Capítulo de libro,"CAPÍTULO V Estado del arte sobre interactividad para evaluar contenidos interactivos, ¿Lo que hay es suficiente?",Colombia,2023,Entornos de Aprendizaje Innovadores (digital),LINA MARIA MONTOYA SUAREZ,1
00005,001,Capítulos de libro publicados,Capítulo de libro,Modelo Integral para la Medición de la Relación Directa entre el Análisis de Puestos de Trabajo y la Productividad del Personal Administrativo: Un caso de Aplicación Real desde la Óptica de Componentes Principales,México,2021,Divulgación de Trabajos Investigativos AJ CDMX 2021,"PAOLA MARCELA ALZATE MONTOYA, LINA CLEMENCIA BUSTAMANTE GUTIERREZ",1
00006,001,Capítulos de libro publicados,Capítulo de libro,Efectos de la actividad física sobre las funciones ejecutivas: Revisión sistemática,México,2021,Avances en educación física y deportes,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA, CAROLINA VASQUEZ LOPEZ, JENNIFER ALZATE JARAMILLO",1
00007,001,Capítulos de libro publicados,Capítulo de libro,A Semantic Frame to Represent and Instantiate ASTM Laboratories,Ecuador,2021,nformation Technology and Systems.,"INGRID DURLEY TORRES PARDO, JAIME ALBERTO GUZMAN LUNA",1
00008,001,Capítulos de libro publicados,Capítulo de libro,Objetos Virtuales de Aprendizaje en la Educación Superior un Caso de Aplicación,Colombia,2018,Investigación e innovación en Ingeniería de Software Volumen 2,"VICTOR DANIEL GIL VERA, LINA MARIA MONTOYA SUAREZ",1
00009,001,Capítulos de libro publicados,Otro capítulo de libro publicado,OBJETOS VIRTUALES DE APRENDIZAJE EN LA EDUCACIÓN SUPERIOR: UN CASO DE APLICACIÓN,Colombia,2018,Investigación e innovación en Ingeniería de Software Volumen 2,VICTOR DANIEL GIL VERA,1
00010,001,Capítulos de libro publicados,Capítulo de libro,¿Qué significa ser ingeniero?,Colombia,2018,Ingeniería: Realidad de una disciplina,LINA MARIA MONTOYA SUAREZ,1
00011,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Uso de TIC en la investigación: Herramientas informáticas para la recolección y análisis de la información,Colombia,2018,situaciones y retos de la investigación en latinoamérica,MARIO ALEJANDRO LOPEZ OCAMPO,1
00012,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Construcción de un sistema de información para la medición de la efectividad del modelo pedagógico amigoniano,Colombia,2016,Memorias Encuentro Nacional de Investigación FUNLAM,"VICTOR DANIEL GIL VERA, GABRIEL JAIME CORREA HENAO",1
00013,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Propuesta de un consultorio virtual de matemáticas para el departamento de ciencias básicas de la Funlam,Colombia,2016,Memorias Encuentro Nacional de Investigación,MARIO ALEJANDRO LOPEZ OCAMPO,1
00014,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Construcción de un sistema de información para la medición de la efectividad del modelo pedagógico amigoniano,Colombia,2016,Memorias del Encuentro Nacional de Investigación- Funlam 2015,VICTOR DANIEL GIL VERA,1
00015,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Observatorio estudiantil para la permanencia con calidad y prevención de la deserción estudiantil,Colombia,2016,Memorias del Encuentro Nacional de Investigación- Funlam 2015,VICTOR DANIEL GIL VERA,1
00016,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Modelo de simulación para la predicción de la población en centros de atención especializados para menores infractores,Colombia,2015,Memorias del Encuentro Nacional de Investigación- Funlam 2015,"VICTOR DANIEL GIL VERA, ANGELICA PATRICIA VELASCO LOPEZ",1
00017,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Relación entre las competencias genéricas razonamiento cuantitativo y lectura crítica en las pruebas saber pro para el departamento de Antioquia,Colombia,2015,Formulación Y Modelación En Ciencias Básicas,GABRIEL JAIME POSADA HERNANDEZ,1
00018,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Experiencia en el uso de la plataforma Schoology como estrategia de acompañamiento docente en los cursos de ciencias básicas de la Funlam,Colombia,2014,La Investigación,MARIO ALEJANDRO LOPEZ OCAMPO,1
00019,001,Capítulos de libro publicados,Capítulo de libro,Aplicación de un caso de estudio para la enseñanza de ingeniería de requisitos basado en lúdica en pregrado,Colombia,2014,Encuentro Internacional De Educación En Ingeniería Acofi 2014,"LINA MARIA MONTOYA SUAREZ, JUAN CARLOS MONSALVE GOMEZ, JORGE GAVIRIA HINCAPIE",1
00020,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Análisis comparativo de la competencia genérica Razonamiento cuantitativo de la prueba Saber Pro,Colombia,2013,Memorias 5 Congreso Internacional De Formación Y Modelación En Ciencias Básicas,GABRIEL JAIME POSADA HERNANDEZ,1
00021,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Un Análisis al Desarrollo Científico desde la Perspectiva de la Realidad Aumentada,Colombia,2012,Análisis Comparativo De La Competencia Genérica Razonamiento Cuantitativo De La Prueba Saberpro Y Su Relación Con Los Cursos Ofrecidos Por El Departamento De Ciencias Básicas En Los Programas De Pregrado De La Funlam Y La U De M,JORGE GAVIRIA HINCAPIE,1
00022,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Rastros en la memoria,Colombia,2012,Un Café Para La Tarde : Cuento,JORGE GAVIRIA HINCAPIE,1
00023,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Un cafe para la tarde,Colombia,2012,Un Café Para La Tarde : Cuento,JORGE GAVIRIA HINCAPIE,1
00024,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Lyrebird: A Learning Object Repossitory Based on a Domain Taxononmy Model,Alemania,2012,Innovations And Advances In Computer,"INGRID DURLEY TORRES PARDO, JAIME ALBERTO GUZMAN LUNA, JOVANI ALBERTO JIMENEZ BUILES",1
00025,001,Capítulos de libro publicados,Otro capítulo de libro publicado,"BAX-SET PLUS: A Taxonomic Navigation Model to Categorize, Search and Retrieve Semantic Web Services",Alemania,2012,Recent Progress In Data Engineering And Internet Technology,"INGRID DURLEY TORRES PARDO, JAIME ALBERTO GUZMAN LUNA, JOVANI ALBERTO JIMENEZ BUILES",1
00026,001,Capítulos de libro publicados,Capítulo de libro,Capitulo X: análisis de la cultura digital desde competencias socio afectivas en escenarios de e-learning y teletrabajo,Colombia,2012,Cultura Digital En América Latina. Investigación Interuniversitaria,"JOSE EUCARIO PARRA CASTRILLON, PAOLA OSORIO VILLA, DAVID ROLDAN ALZATE",1
00027,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Prediction of Failure Risk Through Logical Decision Trees in Web Service Compositions,Estados Unidos,2011,Innovations And Advances In Computer,"BYRON ENRIQUE PORTILLA ROSERO, JAIME ALBERTO GUZMAN LUNA, GINER ALOR HERNANDEZ",1
00028,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Análisis al impacto de las herramientas de pruebas de código abierto en el desarrollo tecnológico actual,Colombia,2011,Proccedings Euromediterranean Scientific Congress On Engineering Emsce 2011,EDGAR SERNA M,1
00029,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Ontologies in Software Maintenance,Panamá,2010,Proceedings Of The 5th Conference Of The Euro-American Association On Telematics And Information Systems Eatis 2010,EDGAR SERNA M,1
00030,001,Capítulos de libro publicados,Otro capítulo de libro publicado,Análisis a la eficiencia del conjunto de casos de prueba generados con la técnica Requirements by Contract,Colombia,2010,Memorias Del 5o Congreso Colombiano De Computación. Ccc2010,"EDGAR SERNA M, FERNANDO ARANGO IZASA",1
00031,002,Capítulos de libro publicados,Otro capítulo de libro publicado,Obras generadas por inteligencia artificial: ¿creaciones protegidas por la ley de derechos de autor?,Colombia,2026,Encuentro Nacional de Investigación,DANY STEVEN GOMEZ AGUDELO,1
00032,002,Capítulos de libro publicados,Capítulo de libro,Verticalización de Medellín: análisis a partir del modelo de ocupación territorial (mot) y del procedimiento de licenciamiento urbano,México,2025,Procesos de gentrificación y verticalización de la ciudad. Políticas de planeación,JORGE EDUARDO VASQUEZ SANTAMARIA,1
00033,002,Capítulos de libro publicados,Capítulo de libro,Protección de los datos personales en la era cibernética: un enfoque constitucional y procesal,Colombia,2025,Convergencias de la justicia y la tecnología,SEBASTIAN DIAZ BOLIVAR,1
00034,002,Capítulos de libro publicados,Capítulo de libro,Protección de los datos personales en la era cibernética: un enfoque constitucional y procesal,Colombia,2025,Convergencias de la justicia y la tecnología,"DANY STEVEN GOMEZ AGUDELO, SEBASTIAN DIAZ BOLIVAR, JUAN ESTEBAN AGUIRRE ESPINOSA",1
00035,002,Capítulos de libro publicados,Capítulo de libro,"Convidarte para la Paz: Socialización política, participación, autonomía y agencia de los niños y niñas de la primera infancia, sus familias y otros agentes para la territorialización de la paz",Colombia,2025,: Expedición Pacífica: Tejiendo ecosistemas transformadores hacia la formación y territorialización de la paz con mujeres,PAOLA ANDREA CARMONA TORO,1
00036,002,Capítulos de libro publicados,Otro capítulo de libro publicado,La apertura y flexibilidad del derecho regulativo como referente para sustentar transformaciones en el derecho administrativo: El legado del profesor Manuel calvo García,España,2024,Debates actuales en la filosofía del derecho y en la sociología jurídica. Libro homenaje al profesor Manuel Calvo García,JORGE EDUARDO VASQUEZ SANTAMARIA,1
00037,002,Capítulos de libro publicados,Otro capítulo de libro publicado,"Inteligencia artificial y desinformación: publicaciones falsas en redes sociales, disponible en: https://www.funlam.edu.co/modules/fondoeditorial/item.php?itemid=898",Colombia,2024,XXIV ENCUENTRO NACIONAL DE INVESTIGACIÓN UNIVERSIDAD CATÓLICA LUIS AMIGÓ,"DANY STEVEN GOMEZ AGUDELO, ADALUZ ORTIZ",1
00038,002,Capítulos de libro publicados,Otro capítulo de libro publicado,Cambios en el derecho administrativo de España y de Colombia a partir de la aplicación de la autonomía local en políticas territoriales y urbanas,Rusia,2024,LOCAL SELF-GOVERNMENT IN MODERN STATES: CHALLENGES AND PERSPECTIVES,JORGE EDUARDO VASQUEZ SANTAMARIA,1
00039,002,Capítulos de libro publicados,Capítulo de libro,El método cualitativo en la investigación sociojurídica: enfoque para la investigación y toma de decisiones - IAD,Chile,2024,DEL DERECHO A LA INVESTIGACIÓN AL DERECHO DE INVESTIGAR,"ROBERTO MAURICIO ROMERO CARDENAS, VICTOR HUGO OCHOA GOMEZ, PAOLA ANDREA TORO TORO",1
00040,002,Capítulos de libro publicados,Capítulo de libro,"LA INCLUSIÓN DE LA VARIABLE AMBIENTAL, LA PREVENCIÓN, LA PRECAUCIÓN Y LA CIUDADANÍA AMBIENTAL FRENTE A LA INTELIGENCIA ARTIFICIAL",Brasil,2024,Inteligencia Artificial para un mundo sostenible. Desafíos jurídicos y éticos,"JORGE EDUARDO VASQUEZ SANTAMARIA, ELVIGIA CARDONA ZULETA",1
00041,002,Capítulos de libro publicados,Otro capítulo de libro publicado,"Vulneración de la Ley de derechos de autor por el uso de Chat GPT, disponible en: https://www.funlam.edu.co/modules/fondoeditorial/item.php?itemid=867",Colombia,2024,XXIV ENCUENTRO NACIONAL DE INVESTIGACIÓN UNIVERSIDAD CATÓLICA LUIS AMIGÓ,DANY STEVEN GOMEZ AGUDELO,1
00042,002,Capítulos de libro publicados,Capítulo de libro,"Justicia digital y derechos fundamentales. ¿Cómo la tecnología puede impedir el acceso a la justicia de poblaciones vulnerables? Disponible en: https://www.funlam.edu.co/uploads/fondoeditorial/863_Investigacion_sociojuridica_politicas_publicas,_clinicas_juridicas_y_litigio_estrategico.pdf",Colombia,2024,INVESTIGACIÓN SOCIOJURÍDICA: POLÍTICAS PÚBLICAS,"DANY STEVEN GOMEZ AGUDELO, SEBASTIAN DIAZ BOLIVAR, JUAN ESTEBAN AGUIRRE ESPINOSA",1
00043,002,Capítulos de libro publicados,Capítulo de libro,Influencia de la educación práctica en el Consultorio Jurídico de la Universidad Católica Luis Amigó a partir de la pandemia por Covid-19,Colombia,2024,INVESTIGACIÓN SOCIOJURÍDICA: POLÍTICAS PÚBLICAS,"JUAN ESTEBAN AGUIRRE ESPINOSA, DANY STEVEN GOMEZ AGUDELO, FABIO ANDRES URIBE PALACIO",1
00044,002,Capítulos de libro publicados,Otro capítulo de libro publicado,Ecos sobre la tensión entre el sujeto político y el sujeto de derecho en el marco de la reincorporación y normalización,Colombia,2024,INVESTIGACIÓN SOCIOJURÍDICA: POLÍTICAS PÚBLICAS,VICTOR HUGO OCHOA GOMEZ,1
00045,002,Capítulos de libro publicados,Capítulo de libro,Pertinencia de las clínicas políticas como escenarios para la resolución de problemas sociopolíticos en Colombia,Colombia,2024,INVESTIGACIÓN SOCIOJURÍDICA: POLÍTICAS PÚBLICAS,ROBERTO MAURICIO ROMERO CARDENAS,1
00046,002,Capítulos de libro publicados,Capítulo de libro,Justicia digital y derechos fundamentales. ¿Cómo la tecnología puede impedir el acceso a la justicia de poblaciones vulnerables?,Colombia,2024,INVESTIGACIÓN SOCIOJURÍDICA: POLÍTICAS PÚBLICAS,"JUAN ESTEBAN AGUIRRE ESPINOSA, DANY STEVEN GOMEZ AGUDELO, SEBASTIAN DIAZ BOLIVAR",1
00047,002,Capítulos de libro publicados,Otro capítulo de libro publicado,El acceso a la información en asuntos intergeneracionales y bioculturales,Colombia,2023,Tendencias actuales de la investigación jurídica y sociojurídica,"ANA MARIA ROLDAN VILLA, JORGE EDUARDO VASQUEZ SANTAMARIA, CAROLINA RESTREPO MUNERA",1
00048,002,Capítulos de libro publicados,Capítulo de libro,Concepto de familia y la perspectiva de género en las conciliaciones extrajudiciales en Colombia,México,2023,familias y desprotección social. desafíos,"ELVIGIA CARDONA ZULETA, MARIA ISABEL URIBE LOPEZ",1
