id,id_grupo,categoria,tipo_producto,titulo,ano,tipologia
00001,001,Conceptos técnicos,,,,2
00002,002,Conceptos técnicos,Concepto técnico,Intervención ciudadana de la Clínica Jurídica de Interés Público de la Universidad Católica Luis Amigó en expediente LAT0000484,2023-10-01,2
00003,003,Conceptos técnicos,,,,2
00004,004,Conceptos técnicos,,,,2
00005,005,Conceptos técnicos,,,,2
00006,006,Conceptos técnicos,,,,2
00007,007,Conceptos técnicos,,,,2
00008,008,Conceptos técnicos,,,,2
00009,009,Conceptos técnicos,,,,2
00010,010,Conceptos técnicos,,,,2
00011,011,Conceptos técnicos,,,,2
00012,012,Conceptos técnicos,,,,2
00013,013,Conceptos técnicos,,,,2
00014,014,Conceptos técnicos,,,,2
