id,id_grupo,categoria,tipo_producto,titulo,pais,ano,institucion,autores,tipologia
00001,001,Curso de Corta Duración Dictados,Extensión extracurricular,Introducción a los sistemas de información geográfica software QGIS,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,VICTOR JOSE SAAVEDRA MEJIA,4
00002,001,Curso de Corta Duración Dictados,Extensión extracurricular,Taller de modelación de la marea con Delft3d,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,VICTOR JOSE SAAVEDRA MEJIA,4
00003,001,Curso de Corta Duración Dictados,Extensión extracurricular,Introducción a la programación con Python,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,VICTOR JOSE SAAVEDRA MEJIA,4
00004,001,Curso de Corta Duración Dictados,Extensión extracurricular,Diplomado en Analitica Institucional del Sector Público,Colombia,2022,GOBERNACION DE ANTIOQUIA,"INGRID DURLEY TORRES PARDO, JAIME ALBERTO GUZMAN LUNA, JUAN SEBASTIAN PARRA SANCHEZ",4
00005,001,Curso de Corta Duración Dictados,Especialización,Metodología de Investigación Cuantitativa,Colombia,2015,UNIVERSIDAD DE MEDELLIN,GABRIEL JAIME CORREA HENAO,4
00006,001,Curso de Corta Duración Dictados,Extensión extracurricular,Energías Renovables y Aplicaciones Agropecuarias,Colombia,2014,INNOVA,GABRIEL JAIME CORREA HENAO,4
00007,001,Curso de Corta Duración Dictados,Perfeccionamiento,Curso de Servicios de la Red Avanzada RENATA,Colombia,2014,UNIVERSIDAD CATOLICA LUIS AMIGO,WALTER HUGO ARBOLEDA MAZO,4
00008,001,Curso de Corta Duración Dictados,Perfeccionamiento,Curso de Servicios de la Red Avanzada RENATA,Colombia,2014,Corporación Universitaria Adventista,WALTER HUGO ARBOLEDA MAZO,4
00009,001,Curso de Corta Duración Dictados,Extensión extracurricular,Curso Básico Virtual en Linux,Colombia,2013,,EDER ALONSO ACEVEDO MARIN,4
00010,001,Curso de Corta Duración Dictados,Perfeccionamiento,Curso Incorporación de las TIC en la docencia,Colombia,2013,,JUAN CARLOS MONSALVE GOMEZ,4
00011,001,Curso de Corta Duración Dictados,Perfeccionamiento,Diplomado en Pedagogía de la Virtualidad,Colombia,2013,,JUAN CARLOS MONSALVE GOMEZ,4
00012,001,Curso de Corta Duración Dictados,Extensión extracurricular,Seminario Gestión de servicios de TI en el marco de las mejores prácticas para el control de la información,Colombia,2012,UNIVERSIDAD COOPERATIVA DE COLOMBIA,EDER ALONSO ACEVEDO MARIN,4
00013,001,Curso de Corta Duración Dictados,Extensión extracurricular,Curso de Tecnología VoIP para la Institución Técnica Fe y Alegría,Colombia,2012,UNIVERSIDAD CATOLICA LUIS AMIGO,EDER ALONSO ACEVEDO MARIN,4
00014,001,Curso de Corta Duración Dictados,Perfeccionamiento,Diplomado en ambientes virtuales de aprendizaje,Colombia,2012,UNIVERSIDAD DE SAN BUENAVENTURA - SEDE MEDELLÍN,JUAN CARLOS MONSALVE GOMEZ,4
00015,001,Curso de Corta Duración Dictados,Extensión extracurricular,Curso de Linux para la Institución Técnica Fe y Alegría,Colombia,2012,UNIVERSIDAD CATOLICA LUIS AMIGO,EDER ALONSO ACEVEDO MARIN,4
00016,001,Curso de Corta Duración Dictados,Perfeccionamiento,Educación presencial con TIC,Colombia,2011,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN CARLOS MONSALVE GOMEZ,4
