id,id_grupo,categoria,tipo_producto,titulo,pais,ano,autores,tipologia
00001,001,Demás trabajos,Demás trabajos,Semillero SYSLAC,Colombia,2019,INGRID DURLEY TORRES PARDO,3
00002,001,Demás trabajos,Demás trabajos,Revista Lámpsakos 16,Colombia,2016,GABRIEL JAIME CORREA HENAO,3
00003,001,Demás trabajos,Demás trabajos,Revista Lámpsakos 15,Colombia,2015,GABRIEL JAIME CORREA HENAO,3
00004,001,Demás trabajos,Demás trabajos,Revista Lámpsakos 14,Colombia,2015,GABRIEL JAIME CORREA HENAO,3
00005,001,Demás trabajos,Demás trabajos,Development of Photovoltaic Solar Energy in latin America,Colombia,2015,VICTOR DANIEL GIL VERA,3
00006,001,Demás trabajos,Demás trabajos,Implementation of a Intelligent Tutorial System for Socioenvironmental Management Projects,Portugal,2015,VICTOR DANIEL GIL VERA,3
00007,001,Demás trabajos,Demás trabajos,Revista Lámpsakos 13,Colombia,2015,GABRIEL JAIME CORREA HENAO,3
00008,001,Demás trabajos,Demás trabajos,Revista Lámpsakos 12,Colombia,2014,GABRIEL JAIME CORREA HENAO,3
00009,001,Demás trabajos,Demás trabajos,Revista Lámpsakos 11,Colombia,2014,GABRIEL JAIME CORREA HENAO,3
00010,001,Demás trabajos,Demás trabajos,Tesis de Maestría: Caracterización Sistemática de la Estructura de los Mercados de Derivados Eléctricos a Nivel Mundial,Colombia,2014,VICTOR DANIEL GIL VERA,3
00011,001,Demás trabajos,Demás trabajos,Sistemas Expertos. Una Herramienta para la Gestión Socioambiental de Proyectos de Infraestructura,Ecuador,2014,VICTOR DANIEL GIL VERA,3
00012,001,Demás trabajos,Demás trabajos,Revista Lámpsakos 10,Colombia,2013,GABRIEL JAIME CORREA HENAO,3
00013,001,Demás trabajos,Demás trabajos,"Revista Lámpsakos 6, 7 , 8",Colombia,2013,GABRIEL JAIME CORREA HENAO,3
00014,001,Demás trabajos,Demás trabajos,Revista Lámpsakos 9,Colombia,2013,GABRIEL JAIME CORREA HENAO,3
00015,001,Demás trabajos,Demás trabajos,Semillero de investigación edubótica,Colombia,2012,JUAN CARLOS MONSALVE GOMEZ,3
00016,001,Demás trabajos,Demás trabajos,"Semillero de Investigación ""EDUBOTICA""",Colombia,2012,INGRID DURLEY TORRES PARDO,3
00017,001,Demás trabajos,Demás trabajos,Estructura del departamento de ciencias basicas de la Fundacion Universitaria Luis Amigo,Colombia,2009,JOSE EUCARIO PARRA CASTRILLON,3
00018,002,Demás trabajos,Demás trabajos,"Carta Descriptiva asignatura Derecho, Género y Familia",Colombia,2024,NATALIA BAENA ROBLEDO,3
00019,002,Demás trabajos,Demás trabajos,Diseño curso Litigio Estratégico Feminista,Colombia,2024,ELVIGIA CARDONA ZULETA,3
00020,002,Demás trabajos,Demás trabajos,Diseño Diplomado en Conciliación Estrajudicial con perspectiva de género,Colombia,2024,"ELVIGIA CARDONA ZULETA, PABLO ANDRES ESTRADA GARCIA",3
00021,002,Demás trabajos,Demás trabajos,Diseño curso Catedra de la Paz desde la perspectiva de género,Colombia,2022,ELVIGIA CARDONA ZULETA,3
00022,002,Demás trabajos,Demás trabajos,Diseño del curso de maestría Perspectiva Teórica del Estudio de Caso,Colombia,2021,ELVIGIA CARDONA ZULETA,3
00023,002,Demás trabajos,Demás trabajos,Big data: patíbulo del debate político,Colombia,2017,ROBERTO MAURICIO ROMERO CARDENAS,3
00024,002,Demás trabajos,Demás trabajos,"Director y Editor Revista Summa Iuris, Facultad de Derecho, Fundación Universitaria Luis Amigó",Colombia,2015,PAULO BERNARDO ARBOLEDA RAMIREZ,3
00025,002,Demás trabajos,Demás trabajos,V Encuentro Internacional de Justicia Constitucional. Cartografías para la paz,Colombia,2014,PAULO BERNARDO ARBOLEDA RAMIREZ,3
00026,002,Demás trabajos,Demás trabajos,"PONENCIA: LA PONDERACION Y LA EFECTIVIZACION DE LOS DERECHOS. III Encuentro Teoría General del Derecho ""Administración de Justicia y el Debido Proceso",Colombia,2014,LUZ AMPARO GRANADA DE ESPINAL,3
00027,002,Demás trabajos,Demás trabajos,LOS ESTEREOTIPOS COMO ESTRATEGIA SEDUCTORA DE LA PSICOLOGIA DEL MARKETING,Colombia,2013,LUZ AMPARO GRANADA DE ESPINAL,3
00028,002,Demás trabajos,Demás trabajos,IV Congreso Internacional de Justicia Constitucional. Sobre la Justicia Transicional. Participante co organizador.,Colombia,2013,MILTON CESAR JIMENEZ RAMIREZ,3
00029,002,Demás trabajos,Demás trabajos,IV Encuentro Internacional de Justicia Constitucional. Entre Derecho y política: La Justicia Transicional,Colombia,2013,PAULO BERNARDO ARBOLEDA RAMIREZ,3
00030,002,Demás trabajos,Demás trabajos,"IV Congreso Internacional y VII Nacional Filosofía del derecho, Ética y Política",Colombia,2013,PAULO BERNARDO ARBOLEDA RAMIREZ,3
00031,002,Demás trabajos,Demás trabajos,"IV CONGRESO INTERNACIONAL Y VII NACIONAL DE FILOSOFIA DEL DERECHO, ETICA Y POLITICA",Colombia,2013,MILTON CESAR JIMENEZ RAMIREZ,3
00032,002,Demás trabajos,Demás trabajos,La Moralidad Política en la Justicia Constitucional,Colombia,2012,MILTON CESAR JIMENEZ RAMIREZ,3
00033,002,Demás trabajos,Demás trabajos,Exposición conceptual foro con temática ¿Es o no pornografía infantil?,Colombia,2012,ANA MARIA MESA ELNESER,3
00034,003,Demás trabajos,Demás trabajos,CARTA DESCRIPTIVA DEL CURSO Ecosistema de emprendimiento e innovación,Colombia,2023,LUIS FERNANDO QUINTERO ARANGO,3
00035,003,Demás trabajos,Demás trabajos,Modulo de Emprendimiento,Colombia,2018,SANDRA MILENA MALAVERA PINEDA,3
00036,003,Demás trabajos,Demás trabajos,Documento de autoevaluación parala especialización en mercadeo estratégico,Colombia,2018,JAIME ALBERTO BELTRAN RIOS,3
00037,003,Demás trabajos,Demás trabajos,"Creatividad y Flexibilidad Cognitiva en una Muestra de Reclusos Beneficiarios del Posacuerdo Colombiano en la Cárcel de Bellavista en Medellín, Colombia.",Colombia,2018,SINDY YULIANA GALLEGO TAVERA,3
00038,003,Demás trabajos,Demás trabajos,Modulo Fundamentos de Mercadeo,Colombia,2017,SANDRA MILENA MALAVERA PINEDA,3
00039,003,Demás trabajos,Demás trabajos,Citas Bibliográficas,Colombia,2012,JUAN SANTIAGO CALLE PIEDRAHITA,3
00040,003,Demás trabajos,Demás trabajos,Metodologia de la Investigación,Colombia,2012,JUAN SANTIAGO CALLE PIEDRAHITA,3
00041,003,Demás trabajos,Demás trabajos,Historia Responsabilidad Social Empresarial,Colombia,2012,JUAN SANTIAGO CALLE PIEDRAHITA,3
