id,id_grupo,categoria,tipo_producto,titulo,ano,tipologia
00001,001,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,Producto de estrategias y contenidos transmedia,Estadística (ACB73),2021,3
00002,001,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,Producto de estrategias y contenidos transmedia,Cálculo (ACB72),2021,3
00003,001,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,Producto de estrategias y contenidos transmedia,Fundamentos Matemáticos (ACB71),2021,3
00004,001,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,Producto de estrategias y contenidos transmedia,Excel Avanzado (AFIEV07),2021,3
00005,002,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00006,003,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,Producto de estrategias y contenidos transmedia,APP Saber Pro Interactivo,2018,3
00007,004,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00008,005,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00009,006,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,Producto de estrategias y contenidos transmedia,"Aplicación y calificación de pruebas Neuropsicológicas, Psicológicas y Pedagógicas en población de 6 a 16 años de edad",2018,3
00010,007,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00011,008,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00012,009,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00013,010,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00014,011,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00015,012,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00016,013,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
00017,014,Divulgación Pública de la Ciencia producción de estrategias y contenidos transmedia,,,,3
