id,id_grupo,categoria,tipo_producto,titulo,pais,ano,autores,tipologia
00001,001,Ediciones,Revista,Edición 24: Semestre II de 2020,Colombia,2020,INGRID DURLEY TORRES PARDO,1
00002,001,Ediciones,Revista,Edición 23: Semestre I de 2020,Colombia,2020,INGRID DURLEY TORRES PARDO,1
00003,001,Ediciones,Revista,Edición 21: Semestre II de 2019,Colombia,2019,INGRID DURLEY TORRES PARDO,1
00004,001,Ediciones,Revista,Lámpsakos - NÚM. 20 (2018): INGENIERÍA Y DESARROLLO,Colombia,2019,JORGE ANDRES COCK RAMIREZ,1
00005,001,Ediciones,Revista,Lámpsakos - NÚM. 19 (2018): INVESTIGACIÓN EN INGENIERÍA,Colombia,2018,JORGE ANDRES COCK RAMIREZ,1
00006,001,Ediciones,Revista,Lámpsakos - NÚM. 18 (2017): INGENIERÍA Y RESPONSABILIDAD SOCIAL,Colombia,2018,JORGE ANDRES COCK RAMIREZ,1
00007,001,Ediciones,Revista,Lámpsakos - NÚM. 17 (2017): NOTAS INGENIERILES,Colombia,2017,JORGE ANDRES COCK RAMIREZ,1
00008,001,Ediciones,Revista,Lámpsakos - NÚM. 16 (2016): APUNTES DE INGENIERÍA,Colombia,2016,JORGE ANDRES COCK RAMIREZ,1
00009,001,Ediciones,Revista,Revista Lámpsakos 5,Colombia,2011,EDGAR SERNA M,1
00010,001,Ediciones,Revista,Revista Lámpsakos 4,Colombia,2010,EDGAR SERNA M,1
00011,001,Ediciones,Revista,Revista Lámpsakos 3,Colombia,2010,EDGAR SERNA M,1
00012,001,Ediciones,Revista,Revista Lámpsakos 2,Colombia,2009,EDGAR SERNA M,1
00013,001,Ediciones,Revista,Revista Lámpsakos 1,Colombia,2009,EDGAR SERNA M,1
00014,002,Ediciones,Libro,Convergencias del derecho: pluralismo jurídico y derechos humanos,Colombia,2026,ROBERTO MAURICIO ROMERO CARDENAS,1
00015,002,Ediciones,Libro,"Investigación sociojurídica: políticas públicas, clínicas jurídicas y litigio estratégico",Colombia,2024,ANA MARIA ROLDAN VILLA,1
00016,002,Ediciones,Libro,"Reflexiones y desafíos del derecho ambiental latinoamericano¿,",Colombia,2023,ANA MARIA ROLDAN VILLA,1
00017,002,Ediciones,Compilación,"Debates contemporáneos en derecho de familias, de infancias y de adolescencias. Miradas interdisciplinarias",Colombia,2023,ANA MARIA ROLDAN VILLA,1
00018,002,Ediciones,Compilación,"Perspectivas actuales sobre sociedad, conflicto y derechos humanos en Colombia",Colombia,2023,ANA MARIA ROLDAN VILLA,1
00019,002,Ediciones,Compilación,"Debates contemporáneos en derecho de familias, de infancias y de adolescencias. Retos y oportunidades",Colombia,2022,ANA MARIA ROLDAN VILLA,1
00020,002,Ediciones,Compilación,"Debates contemporáneos en derecho de familias, de infancias y de adolescencias. Desafíos y realidades",Colombia,2021,ANA MARIA ROLDAN VILLA,1
00021,002,Ediciones,Compilación,Debates contemporáneos del proceso en un mundo que se transforma,Colombia,2020,"JORGE EDUARDO VASQUEZ SANTAMARIA, DIANA MARIA RAMIREZ CARVAJAL",1
00022,002,Ediciones,Revista,SUMMA IURIS,Colombia,2018,EYDER BOLIVAR MOJICA,1
00023,002,Ediciones,Revista,SUMMA IURIS,Colombia,2018,EYDER BOLIVAR MOJICA,1
00024,002,Ediciones,Libro,Aproximación A La Informática Forense Y El Derecho Informático: Ámbito Colombiano,Colombia,2013,ANA MARIA MESA ELNESER,1
00025,002,Ediciones,Libro,Guia práctica para leer la Constitución,Colombia,2008,JORGE EDUARDO VASQUEZ SANTAMARIA,1
00026,003,Ediciones,Compilación,Formación docente en investigación cualitativa: relatos y reflexiones,Colombia,2024,"CESAR ANDRES CARMONA CARDONA, LUIS FERNANDO QUINTERO ARANGO",1
00027,003,Ediciones,Revista,APORTES SIGNIFICATIVOS DE LA INVESTIGACION FORMATIVA EN INSTITUCIONES UNIVERSITARIAS,Colombia,2009,CARLOS ANDRES ARISTIZABAL BOTERO,1
00028,004,Ediciones,Libro,Hechos y emprendimientos cooperativos de transformación,Colombia,2020,HERNANDO EMILIO ZABALA SALAZAR,1
00029,004,Ediciones,Otro,Curso avanzado de economía solidaria,Colombia,2013,OSWALDO ANTONIO SALGADO CANAVERAL,1
00030,004,Ediciones,Otro,Curso básico de economía solidaria,Colombia,2013,OSWALDO ANTONIO SALGADO CANAVERAL,1
00031,004,Ediciones,Otro,Curso medio de economía solidaria,Colombia,2013,OSWALDO ANTONIO SALGADO CANAVERAL,1
00032,005,Ediciones,Compilación,Estudios en neurociencias cognitivas aplicadas,Colombia,2026,"DUBIS MARCELA RINCON BARRETO, CESAR ANDRES CARMONA CARDONA",1
00033,005,Ediciones,Revista,Revista Ciencia y Academia Edición 1 Enero-Diciembre de 2020,Colombia,2020,JUAN DIEGO BETANCUR ARIAS,1
00034,005,Ediciones,Revista,Funlam Journal of Students' Research No. 4 enero-diciembre de 2019,Colombia,2019,JUAN DIEGO BETANCUR ARIAS,1
00035,005,Ediciones,Libro,Situaciones y retos de la investigación en Latinoamérica,Colombia,2018,"PAULA ANDREA MONTOYA ZULUAGA, SONIA NATALIA COGOLLO OSPINA",1
00036,005,Ediciones,Revista,Funlam Journal of Students' Research No. 3 enero-diciembre de 2018,Colombia,2018,JUAN DIEGO BETANCUR ARIAS,1
00037,005,Ediciones,Libro,Hacia un concepto multifactorial del aprendizaje y la memoria. Aplicaciones tendientes a una visión neuropsicopedagógica (Vol. II),Colombia,2017,"PAULA ANDREA MONTOYA ZULUAGA, JUAN DIEGO BETANCUR ARIAS",1
00038,005,Ediciones,Libro,Hacia un concepto multifactorial del aprendizaje y la memoria. Aproximaciones neuropsicopedagógicas (Vol. I),Colombia,2017,"PAULA ANDREA MONTOYA ZULUAGA, JUAN DIEGO BETANCUR ARIAS",1
00039,005,Ediciones,Revista,Funlam Journal of Students' Research No. 2 enero-diciembre de 2017,Colombia,2017,JUAN DIEGO BETANCUR ARIAS,1
00040,005,Ediciones,Revista,Funlam Journal of Students¿ Research,Colombia,2016,JUAN DIEGO BETANCUR ARIAS,1
00041,005,Ediciones,Libro,"Ética Profesional Y Responsabilidad Social Universitaria : Universidad, Sociedad Y Sujeto",Colombia,2016,OLBER EDUARDO ARANGO TOBON,1
00042,006,Ediciones,Compilación,La ciencia como escritura. Encuentro de centros y programas de escritura,Colombia,2023,JAIRO GUTIERREZ AVENDANO,1
00043,006,Ediciones,Libro,Research on Language Teaching and Learning: Advances and Projection,Colombia,2021,JOSE VICENTE ABAD OLAYA,1
00044,006,Ediciones,Revista,Los Perfiles Docentes en Contextos de Educación Bilingüe Prestigiosos y Minoritarios en Argentina,Colombia,2015,DAMIEN LE GAL FRANCOIS,1
00045,006,Ediciones,Revista,"ARTICULATION LANGUES NATIONALES FRANÇAIS : CAS DES ÉTUDIANTS, LOCUTEURS TAMASHEQ",Colombia,2014,DAMIEN LE GAL FRANCOIS,1
00046,006,Ediciones,Libro,Reflexiones sobre infancia,Colombia,2013,ADRIANA MARIA GALLEGO HENAO,1
00047,006,Ediciones,Compilación,Infancia hoy: Desde una perspectiva investigativa,Colombia,2012,ADRIANA MARIA GALLEGO HENAO,1
00048,007,Ediciones,Compilación,Seminario intervención social. un abordaje interdisciplinario para la planificación territorial y la gestión socio ambiental,Colombia,2020,GLORIS ROCIO TOBAR CARRENO,1
00049,008,Ediciones,Libro,"Psicología ambiental, volumen II. Experiencias, diálogos y perspectivas de investigación",Colombia,2022,"WILLIAN SIERRA BARON, KATY LUZ MILLAN OTERO, OSCAR EDUARDO NAVARRO CARRASCAL",1
00050,008,Ediciones,Libro,"Psicología ambiental, volumen I. Experiencias, diálogos y perspectivas académicas",Colombia,2022,"WILLIAN SIERRA BARON, KATY LUZ MILLAN OTERO, OSCAR EDUARDO NAVARRO CARRASCAL",1
00051,008,Ediciones,Revista,"Vol. 8 N° 1 (enero-junio, 2017)",Colombia,2017,SONIA NATALIA COGOLLO OSPINA,1
00052,008,Ediciones,Revista,Revista de Psicología Social,España,2016,MONICA ALZATE GARCIA,1
00053,008,Ediciones,Revista,Revista de Psicología Social International Journal of Social Psychology. Vol 31 (3) 2016,Colombia,2016,MONICA ALZATE GARCIA,1
00054,008,Ediciones,Revista,"Vol. 7 N° 2 (julio-diciembre, 2016)",Colombia,2016,SONIA NATALIA COGOLLO OSPINA,1
00055,008,Ediciones,Revista,"Vol. 7 N° 1 (enero-junio, 2016)",Colombia,2016,SONIA NATALIA COGOLLO OSPINA,1
00056,008,Ediciones,Revista,Revista de Psicología Social: International Journal of Social Psychology. Vol 31 (1) 2016,España,2016,MONICA ALZATE GARCIA,1
00057,008,Ediciones,Revista,Revista de Psicología Social International Journal of Social Psychology. Vol 31 (2) 2016,España,2016,MONICA ALZATE GARCIA,1
00058,008,Ediciones,Revista,"Revista de Psicología Social: International Journal of Social Psychology Vol 30 (3), 2015",Colombia,2015,MONICA ALZATE GARCIA,1
00059,008,Ediciones,Libro,Imaginar la paz en Colombia. Cavilaciones desde la academia,Colombia,2015,SONIA NATALIA COGOLLO OSPINA,1
00060,008,Ediciones,Revista,"Vol. 6 N° 2 (julio-diciembre, 2015)",Colombia,2015,SONIA NATALIA COGOLLO OSPINA,1
00061,008,Ediciones,Compilación,Responsabilidad social : perspectivas para la acción en Colombia,Colombia,2015,SONIA NATALIA COGOLLO OSPINA,1
00062,008,Ediciones,Revista,"Revista de Psicología Social: International Journal of Social Psychology Vol 30 (2), 2015",España,2015,"JOSE MANUEL SABUCEDO CAMESELLE, MONICA ALZATE GARCIA",1
00063,008,Ediciones,Revista,"Revista de Psicología Social: International Journal of Social Psychology Vol 30 (1), 2015",Colombia,2015,MONICA ALZATE GARCIA,1
00064,008,Ediciones,Revista,"Vol. 6 N° 1 (enero-junio, 2015)",Colombia,2015,SONIA NATALIA COGOLLO OSPINA,1
