id,id_grupo,categoria,tipo_producto,ano,tipologia
00001,001,Estrategias de Comunicación del Conocimiento,Factores incidentes del emprendimiento femenino,                Julio 2019,3
00002,002,Estrategias de Comunicación del Conocimiento,Leteopolítica: Jóvenes y medios de comunicación,                Octubre 2020,3
00003,002,Estrategias de Comunicación del Conocimiento,"Comunicados al Congreso de la República y a la Opinión Pública: Sustentación de respaldo al proyecto de Ley 057 de 2020, por medio del cual se aprueba el Acuerdo Regional sobre el acceso a la información, la participación, y la justicia en asuntos ambien",                Septiembre 2020,3
00004,002,Estrategias de Comunicación del Conocimiento,Restricciones de los Sistemas de Información de Gestión del Riesgo de Desastres frente al derecho de acceso a la información para la prevención de desastres tecnicamente previsibles durante la emergencia sanitaria en Colombia,                Mayo 2020,3
00005,002,Estrategias de Comunicación del Conocimiento,Docente del semillero de investigación en Técnicas de la Oralidad en el Proceso.,                Diciembre 2020,3
00006,002,Estrategias de Comunicación del Conocimiento,III Jornada de Investigación Jurídica y Sociojurídica,                Mayo 2019,3
00007,002,Estrategias de Comunicación del Conocimiento,I Jornada de inevstigación Jurídica y sociojurídica programa de Derecho,                Noviembre 2018,3
00008,003,Estrategias de Comunicación del Conocimiento,Estrategia de comunicación del conocimiento,                Noviembre 2017,3
00009,003,Estrategias de Comunicación del Conocimiento,Comunicación y sensibilización de la planeación estratégica con proveedores de la empresa Manufacturas Puli,                Noviembre 2017,3
00010,004,Estrategias de Comunicación del Conocimiento,Emprendimiento social como alternativa de fortalecimiento del tejido social y generación de oportunidades con enfoque de género,                Septiembre 2020,3
00011,004,Estrategias de Comunicación del Conocimiento,Emprendimiento social como alternativa de fortalecimiento del tejido social y generación de oportunidades con enfoque de género,                Septiembre 2020,3
00012,004,Estrategias de Comunicación del Conocimiento,"primera Cátedra Ambiental, Empresarial y Ciudadana, en el tema de ¿Servicios ecosistémicos: beneficios e impactos por factores antrópicos¿",                Septiembre 2020,3
00013,004,Estrategias de Comunicación del Conocimiento,Foro Asociación Mujer y Café y Fundación Bolivar Davivienda,                Septiembre 2019,3
