id,id_grupo,categoria,titulo,ano,tipologia
00001,001,Estrategias Pedagógicas para el fomento a la CTI,"Curso Estadística Descriptiva con Aplicaciones en Excel y SPSS, modalidad blended",,3
00002,001,Estrategias Pedagógicas para el fomento a la CTI,Diseño de un modelo instruccional y un ambiente virtual en la plataforma Moodle para el desarrollo de cursos de formación en investigación bajo la modalidad virtual,,3
00003,002,Estrategias Pedagógicas para el fomento a la CTI,Clínica Jurídica revisión del expediente T 7.831.776,Septiembre 2020,3
00004,002,Estrategias Pedagógicas para el fomento a la CTI,Clínica Jurídica Revisión del expediente T ¿ 7.831.776,Septiembre 2020,3
00005,002,Estrategias Pedagógicas para el fomento a la CTI,Clínica Jurídica Decreto 1500 de 2018,,3
00006,002,Estrategias Pedagógicas para el fomento a la CTI,Enseñanza y aprendizaje clínico del derecho (EACD) Fundamentación de un enfoque pedagógico que permita el reconocimiento y la creación de las Clínicas Jurídicas como estrategias pedagógicas para el fomento de la CTeI en la Universidad Católica Luis Amigó,,3
00007,002,Estrategias Pedagógicas para el fomento a la CTI,Grupo Estudio Género y Derecho de Familias,Noviembre 2020,3
00008,002,Estrategias Pedagógicas para el fomento a la CTI,Escuela de Semilleros Nodo Eje Cafetero,,3
00009,002,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Investigación adicTIcos,Diciembre 2020,3
00010,002,Estrategias Pedagógicas para el fomento a la CTI,Semillero Albatros - Acción política y políticas públicas,,3
00011,003,Estrategias Pedagógicas para el fomento a la CTI,Modelo de incubación de emprendimientos sociales y productivos para estudiantes universitarios,Octubre 2018,3
00012,003,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Investigación en Innovación Gastronómica y de Alimentos (SIIGA),Noviembre 2019,3
00013,003,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Investigación en Educación Nutricional y Cultura Alimentaria (SIENCA),Noviembre 2019,3
00014,003,Estrategias Pedagógicas para el fomento a la CTI,Procesos de revisión de literatura a través de internet para estudiantes,Abril 2018,3
00015,003,Estrategias Pedagógicas para el fomento a la CTI,Mercadotecnia aplicada  a la Investigación,Abril 2018,3
00016,003,Estrategias Pedagógicas para el fomento a la CTI,Estadística Aplicada a la investigación científica,Abril 2018,3
00017,003,Estrategias Pedagógicas para el fomento a la CTI,Gestion y organizacion de cooperativas con enfacis en emprendimiento sostenible,Marzo 2018,3
00018,003,Estrategias Pedagógicas para el fomento a la CTI,Emprendimiento y creación de empresas por estudiantes universitarios,Marzo 2018,3
00019,003,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Creatividad e Innovación,,3
00020,003,Estrategias Pedagógicas para el fomento a la CTI,Semillero de gestión de procesos administrativos (GEPA),Noviembre 2020,3
00021,003,Estrategias Pedagógicas para el fomento a la CTI,"Estrategia pedagógica para el fomento a la ciencia, la tecnología y la innovación (CTI)",Noviembre 2017,3
00022,003,Estrategias Pedagógicas para el fomento a la CTI,Feria Sabatina Mentalidad Empresarial,Abril 2017,3
00023,003,Estrategias Pedagógicas para el fomento a la CTI,Industria calidad y moda - Conformación del comité de convivencia,Noviembre 2017,3
00024,004,Estrategias Pedagógicas para el fomento a la CTI,I Simulación Asamblea General de la ONU - Convenio Universidad Politécnico de Guanajuato,Octubre 2020,3
00025,004,Estrategias Pedagógicas para el fomento a la CTI,V Simulación Asamblea General de la ONU,Noviembre 2020,3
00026,004,Estrategias Pedagógicas para el fomento a la CTI,II Simulación Asamblea General de la ONU - Convenio UCO,Noviembre 2020,3
00027,004,Estrategias Pedagógicas para el fomento a la CTI,"ODS No.9 Industria, innovación e infraestructura, aplicado al modelo de exportación para Pymes",Octubre 2020,3
00028,004,Estrategias Pedagógicas para el fomento a la CTI,Coordinación del Semillero de Negocios Internacionales - 2020,Noviembre 2020,3
00029,004,Estrategias Pedagógicas para el fomento a la CTI,IV Simulación Asamblea General de la ONU,Mayo 2020,3
00030,004,Estrategias Pedagógicas para el fomento a la CTI,III Simulación Asamblea General de la ONU,Noviembre 2019,3
00031,004,Estrategias Pedagógicas para el fomento a la CTI,HABILIDADES BLANDAS PARA EL GERENTE DE HOY,Agosto 2019,3
00032,004,Estrategias Pedagógicas para el fomento a la CTI,I Simulación Asamblea General de la ONU - Convenio UCO,Noviembre 2019,3
00033,004,Estrategias Pedagógicas para el fomento a la CTI,Conversatorios con docentes y empresarios del sector de la ecosol en Costarica,Mayo 2019,3
00034,004,Estrategias Pedagógicas para el fomento a la CTI,I Simulación Asamblea de la organización de los Estados Americanos OEA,Mayo 2019,3
00035,004,Estrategias Pedagógicas para el fomento a la CTI,V MODELO DE LA ASAMBLEA GENERAL DE LA ORGANIZACIÓN DE LOS ESTADOS AMERICANOS ¿ OEA,Marzo 2019,3
00036,004,Estrategias Pedagógicas para el fomento a la CTI,Emprendimiento y liderazgo Resiliente: Hacia la Clave del Éxito para estudiantes universitarios,Noviembre 2018,3
00037,004,Estrategias Pedagógicas para el fomento a la CTI,Gerencia estratégica: Una Herramienta para la Competitividad Organizacional para estudiantes universitarios,Noviembre 2018,3
00038,004,Estrategias Pedagógicas para el fomento a la CTI,Emprendimiento Sostenible e Innovación,Noviembre 2018,3
00039,004,Estrategias Pedagógicas para el fomento a la CTI,Conversatorio Políticas públicas de economía solidaria en el marco de la pasantía al territorio solidario de Santander,Noviembre 2018,3
00040,004,Estrategias Pedagógicas para el fomento a la CTI,La Ética de la Felicidad Organizacional como Innovación Empresarial para estudiantes universitarios Universidad de Guanajuato,Noviembre 2018,3
00041,004,Estrategias Pedagógicas para el fomento a la CTI,II Simulación Asamblea General de la ONU,Noviembre 2018,3
00042,004,Estrategias Pedagógicas para el fomento a la CTI,Coordinación Semillero de Negocios Internacionales 2019,Noviembre 2019,3
00043,004,Estrategias Pedagógicas para el fomento a la CTI,Coordinación Semillero de Investigación Negocios Internacionales 2018,Diciembre 2018,3
00044,004,Estrategias Pedagógicas para el fomento a la CTI,Semillero de investigación en Mercadeo,Noviembre 2018,3
00045,004,Estrategias Pedagógicas para el fomento a la CTI,I Simulación Asamblea General de la ONU,Marzo 2018,3
00046,004,Estrategias Pedagógicas para el fomento a la CTI,Diseño del programa de Maestría Educacion en Patrimonio Cultural,Agosto 2018,3
00047,004,Estrategias Pedagógicas para el fomento a la CTI,Apoyo a la Gestión y documentación de las juntas de acción comunal del Municipio de Copacabana,Enero 2018,3
00048,004,Estrategias Pedagógicas para el fomento a la CTI,Proyecto administracion en mi barrio,Mayo 2017,3
00049,005,Estrategias Pedagógicas para el fomento a la CTI,Taller de creatividad científica,,3
