id,id_grupo,categoria,tipo_producto,titulo,ano,institucion,tipologia
00001,001,Eventos Científicos,Congreso,"II Congreso Internacional de Gestión, Economía y Finanzas GEF 2025",2025-10-24,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00002,001,Eventos Científicos,Congreso,XIII Congreso Internacional Cerebro y Mente: La integración,2025-09-13,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00003,001,Eventos Científicos,Congreso,MICRADS´25 - The 2025 Multidisciplinary International Conference of Research Applied to Defense and Security,2025-07-26,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00004,001,Eventos Científicos,Congreso,XXVII Encuentro Nacional de Investigación (Universidad Católica Luis Amigó) 2024,2024-10-04,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00005,001,Eventos Científicos,Congreso,XVII CONGRESO DE COMPUTACIÓN PARA EL DESARROLLO,2024-07-19,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00006,001,Eventos Científicos,Otro,IEEE CCAC 2023: 2023 6th IEEE Colombian Conference on Automatic Control,2023-11-20,Ieee Circuits And System Society,3
00007,001,Eventos Científicos,Congreso,"CSEI 2023 V CONGRES OF COMPUTER, ELECTRONIC, AND INDUSTRIAL SCIENCE",2023-11-10,"Universidad Técnica de Ambato, UTA",3
00008,001,Eventos Científicos,Congreso,VI Congreso Internacional de Ingeniería de Sistemas,2023-11-03,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00009,001,Eventos Científicos,Congreso,XIV Congreso de Aplicación de Tecnologías de la Información y Comunicaciones Avanzadas (ATICA2023),2023-10-20,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00010,001,Eventos Científicos,Encuentro,XXVI Encuentro Nacional de Investigaciones,2023-09-14,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00011,001,Eventos Científicos,Encuentro,XXVI Encuentro Nacional de Investigaciones,2023-09-14,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00012,001,Eventos Científicos,Congreso,II Congreso Internacional SoPhIC 2023,2023-08-11,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00013,001,Eventos Científicos,Congreso,XVI Congreso de Computación para el Desarrollo (COMPDES2023),2023-07-28,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00014,001,Eventos Científicos,Encuentro,"IX Semana internacional de Ciencia, Tecnología e Innovación",2022-12-02,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00015,001,Eventos Científicos,Congreso,XI Congreso Internacional de Materiales XI CIM 2022,2022-10-28,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00016,001,Eventos Científicos,Encuentro,X Encuentro de investigadores de REDNICOL,2022-10-20,CORPORACIÓN UNIVERSITARIA IBEROAMERICANA,3
00017,001,Eventos Científicos,Encuentro,"XXV Encuentro Nacional de Investigación, Innovación y Creación Artística y Cultural",2022-09-16,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00018,001,Eventos Científicos,Encuentro,XXV Encuentro Nacional de Investigación,2022-09-16,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00019,001,Eventos Científicos,Congreso,I Congreso Internacional de Ingeniería Social - Una apuesta hacia el Desarrollo Sostenible,2022-09-02,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00020,001,Eventos Científicos,Congreso,II Congreso Internacional de Investigación en Ingeniería,2022-08-23,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00021,001,Eventos Científicos,Congreso,XXX International Materials Research Congress (IMRC2022) and International Conference on Advanced Materials (ICAM2021),2022-08-19,Sociedad Mexicana de Materiales,3
00022,001,Eventos Científicos,Congreso,VII Congreso Internacional de Entornos Virtuales y Desarrollo Humano,2022-08-05,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00023,001,Eventos Científicos,Congreso,XV CONGRESO DE COMPUTACIÓN PARA EL DESARROLLO,2022-07-29,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00024,001,Eventos Científicos,Simposio,32nd European Symposium of Applied Thermodynamics (ESAT),2022-07-20,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00025,001,Eventos Científicos,Congreso,XII Congreso Internacional sobre Aplicación de Tecnologías de la Información y Comunicaciones Avanzadas ATICA2021,2021-11-26,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00026,001,Eventos Científicos,Congreso,Congreso Internacional Academia Journals Ciudad de México 2021,2021-09-10,UNIVERSIDAD DE CALDAS,3
00027,001,Eventos Científicos,Encuentro,XXIV ENCUENTRO NACIONAL DE INVESTIGACIÓN,2021-09-10,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00028,001,Eventos Científicos,Congreso,XXIV Encuentro Nacional de Investigación,2021-09-10,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00029,001,Eventos Científicos,Encuentro,XXIV Encuentro Nacional de Investigaciones,2021-09-10,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00030,001,Eventos Científicos,Congreso,XIV Congreso de Computación para el Desarrollo (COMPDES 2021),2021-07-30,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00031,001,Eventos Científicos,Congreso,OSA Optical Sensors and Sensing Congress 2021,2021-07-23,The Optical Society of America (OSA),3
00032,001,Eventos Científicos,Congreso,"Congreso Nacional de Educación y Pedagogía en la UNAL, la Universidad Aprende, Educación en Contexto",2021-04-16,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00033,001,Eventos Científicos,Congreso,XI Congreso Internacional ATICA - 2020,2020-11-27,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00034,001,Eventos Científicos,Congreso,XI Congreso Internacional ATICA2020,2020-11-27,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00035,001,Eventos Científicos,Seminario,Semana de la Ingeniería Civil: Charlas sobre instrumentación y control de obras de infraestructura,2020-10-23,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00036,001,Eventos Científicos,Simposio,VI SIMPOSIO DE INVESTIGACIÓN 2020,2020-10-24,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00037,001,Eventos Científicos,Simposio,VI Simposio de Investigación Uniremington - 2020,2020-10-24,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00038,001,Eventos Científicos,Encuentro,XXIII encuentro nacional de investigación,2020-10-16,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00039,001,Eventos Científicos,Encuentro,XXIII Encuentro Nacional de Investigación 2020,2020-10-16,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00040,001,Eventos Científicos,Encuentro,XXIII Encuentro Nacional de Investigación,2020-10-16,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00041,001,Eventos Científicos,Simposio,Simposio Internacional en Ciudadanías Emergentes,2020-09-25,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00042,001,Eventos Científicos,Congreso,II Congreso Salud Mental Digital,2020-09-14,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00043,001,Eventos Científicos,Congreso,"V Congreso Internacional sobre Ingeniería, Tecnología y Atomatización - CIITA 2019",2019-12-04,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00044,001,Eventos Científicos,Encuentro,Primer encuentro Agroskills,2019-11-28,CORPORACIÓN INCUBADORA DE EMPRESAS DE BASE TECNOLÓGICA DEL ORIENTE ANTIOQUEÑO GENESIS,3
00045,001,Eventos Científicos,Congreso,X Congreso Internacional de Materiales CIM 2019,2019-10-25,UNIVERSIDAD  INDUSTRIAL DE SANTANDER,3
00046,001,Eventos Científicos,Congreso,"The Sixteenth International Conference on Civil, Structural & Environmental Engineering Computing civil-comp2019",2019-09-19,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00047,001,Eventos Científicos,Encuentro,Encuentro Internacional de Educación en Ingeniería (EIEI ACOFI 2019),2019-09-13,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00048,001,Eventos Científicos,Congreso,Encuentro Internacional de Educación en Ingeniería - ACOFI,2019-09-13,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00049,001,Eventos Científicos,Congreso,XXII Encuentro Nacional de Investigación,2019-09-06,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00050,001,Eventos Científicos,Congreso,VII Congreso Internacional sobre Tecnología e Innovación + Ciencia e Investigación CITICI - 2019,2019-05-24,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00051,001,Eventos Científicos,Otro,Statistical Physics Approaches to Systems Biology,2019-02-15,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00052,001,Eventos Científicos,Congreso,"VII semana de la tecnología, Creatividad e Innovación",2018-10-19,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00053,001,Eventos Científicos,Encuentro,XXI Encuentro Nacional de Investigación,2018-09-07,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00054,001,Eventos Científicos,Encuentro,XXI Encuentro Nacional de Investigación 2018,2018-09-07,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00055,001,Eventos Científicos,Encuentro,"XXI Encuentro Nacional de Investigación ""Ciencia, Sociedad e Innovación""",2018-09-07,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00056,001,Eventos Científicos,Otro,"XXI Encuentro Nacional de  Investigación ¿Ciencia, Sociedad e Innovación¿",2018-09-07,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00057,001,Eventos Científicos,Encuentro,"XXI Encuentro Nacional de Investigación ¿Ciencia, Sociedad e Innovación¿",2018-09-07,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00058,001,Eventos Científicos,Simposio,Simposio de investigación Ustamed 2017,2017-11-10,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00059,001,Eventos Científicos,Congreso,IX Congreso Internacional de Computación y Telecomunicaciones,2017-10-13,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00060,001,Eventos Científicos,Encuentro,"XX Encuentro Nacional de Investigación: Investigación, desarrollo e innovación",2017-09-08,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00061,001,Eventos Científicos,Encuentro,XX Encuentro Nacional de Investigación,2017-09-08,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00062,001,Eventos Científicos,Congreso,12th International Conference on Relativistic Effects in Heavy-Element Chemistry and Physics,2017-09-06,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00063,001,Eventos Científicos,Congreso,11th Triennial Congress of the World Association of Theoretical and Computational Chemists,2017-09-01,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00064,001,Eventos Científicos,Congreso,IX CONGRESO INTERNACIONAL DE FORMACIÓN Y MODELACIÓN EN CIENCIAS BÁSICAS,2017-05-05,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00065,001,Eventos Científicos,Congreso,"V semana de la tecnología, Creatividad e Innovación",2016-10-13,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00066,001,Eventos Científicos,Encuentro,XIX Encuentro Nacional de Investigaciones,2016-10-07,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00067,001,Eventos Científicos,Encuentro,Encuentro Nacional de Investigacion FUNLAM 2016,2016-10-07,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00068,001,Eventos Científicos,Congreso,Currents Topics in Theoretical Chemistry,2016-09-30,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00069,001,Eventos Científicos,Encuentro,8° Encuentro local de semilleros de investigación RREDSI Nodo Caldas,2016-05-12,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00070,001,Eventos Científicos,Congreso,VIII CONGRESO INTERNACIONAL DE FORMACIÓN Y MODELACIÓN EN CIENCIAS BÁSICAS,2016-05-06,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00071,001,Eventos Científicos,Simposio,Primera Reunion Colombiana Sobre Leishmaniasis y Enfermedad de Chagas y XV Simposio Programa de Estudio y Control de Enfermedades Tropicales.,2016-04-29,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00072,001,Eventos Científicos,Congreso,"Cuarto Congreso internacional Pedagogía y TIC, ""Educación superior en la era digital:Tendencias e innovaciones""",2015-12-04,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00073,001,Eventos Científicos,Congreso,III Congreso Nacional de Pedagogía Amigoniana,2015-11-15,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00074,001,Eventos Científicos,Congreso,3rd International Conference on Material Science,2015-10-24,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00075,001,Eventos Científicos,Encuentro,Encuentro Internacional de Educación en Ingeniería -  ACOFI 2015,2015-09-18,CORPORACIÓN UNIVERSITARIA REMINGTON,3
00076,001,Eventos Científicos,Encuentro,XVIII ENCUENTRO NACIONAL DE INVESTIGACIÓN: LA INVESTIGACIÓN UNA OPORTUNIDAD SOCIAL,2015-09-10,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00077,001,Eventos Científicos,Congreso,Encuentro Nacional de Investigación - FUNLAM 2015,2015-09-10,UNIVERSIDAD CATOLICA LUIS AMIGO,3
00078,001,Eventos Científicos,Congreso,Encuentro Nacional de Investigación FUNLAM 2015,2015-09-10,UNIVERSIDAD CATOLICA LUIS AMIGO,3
