id,id_grupo,categoria,tipo_producto,titulo,ano,tipologia
00001,001,Generaciónes de contenido de audio,,,,3
00002,002,Generaciónes de contenido de audio,Generación de contenido audio,Con el ojo en el Congreso,2020,3
00003,003,Generaciónes de contenido de audio,,,,3
00004,004,Generaciónes de contenido de audio,Generación de contenido audio,Simulación Modelo ONU,2019,3
00005,005,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del suicidio-Medellín,2019,3
00006,006,Generaciónes de contenido de audio,,,,3
00007,007,Generaciónes de contenido de audio,,,,3
00008,008,Generaciónes de contenido de audio,Generación de contenido audio,PROGRAMA RADIAL PREVENCION DE LA CONDUCTA SUICIDA EMISORA LA VOZ DE LA UNION EN FASE II,2019,3
00009,008,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del suicidio - Medellín,2019,3
00010,008,Generaciónes de contenido de audio,Generación de contenido audio,"Programa Radial ""Hablemos del suicidio"".",2019,3
00011,009,Generaciónes de contenido de audio,,,,3
00012,010,Generaciónes de contenido de audio,,,,3
00013,011,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del suicidio-Medellín,2019,3
00014,011,Generaciónes de contenido de audio,Generación de contenido audio,hablemos del suicidio-medellin,2019,3
00015,012,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del suicidio - Medellín,2019,3
00016,012,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del Suicidio - Medellín,2019,3
00017,013,Generaciónes de contenido de audio,Generación de contenido audio,"El autismo: una visión desde la psiquiatría, el psicoanálisis y la psicología.",2018,3
00018,014,Generaciónes de contenido de audio,,,,3
