id,id_grupo,categoria,tipo_producto,titulo,pais,ano,autores,tipologia
00001,001,Generación de Contenido Multimedia,Otro,Videotutorial: Elaboración de mapas conceptuales en Cmaptools,2012,Colombia,JUAN CARLOS MONSALVE GOMEZ,3
00002,001,Generación de Contenido Multimedia,Otro,Videotutorial: grabación de archivos de audio y publicación en la red,2012,Colombia,JUAN CARLOS MONSALVE GOMEZ,3
00003,001,Generación de Contenido Multimedia,Otro,Videotutorial: diseño de cursos virtuales en plataforma Moodle,2012,Colombia,JUAN CARLOS MONSALVE GOMEZ,3
00004,001,Generación de Contenido Multimedia,Otro,Videotutorial: creación de blog en Wordpress,2012,Colombia,JUAN CARLOS MONSALVE GOMEZ,3
00005,001,Generación de Contenido Multimedia,Otro,Videotutorial: elaboración de material educativo en ExeLearning,2012,Colombia,JUAN CARLOS MONSALVE GOMEZ,3
00006,002,Generación de Contenido Multimedia,Entrevista,"Desconocimiento, sinónimo de impunidad en investigación de delitos informáticos, Universidad EAFIT. Medellín. Mayo 17 de 2012. Publicado por agencia de noticias EAFIT.",2012,Colombia,ANA MARIA MESA ELNESER,3
00007,002,Generación de Contenido Multimedia,Entrevista,"¿Informática forense y su aplicación en la investigación de los delitos informáticos consagrados en la Ley 1273 de 2009¿, énfasis en el impacto social y de formación profesional.",2012,Colombia,ANA MARIA MESA ELNESER,3
00008,002,Generación de Contenido Multimedia,Entrevista,"Resultados finales de investigación interinstitucional en ejecución, fase finalización denominada ¿Informática forense y su aplicación en la investigación de los delitos informáticos consagrados en la Ley 1273 de 2009¿, impacto social y de formación profesional.",2012,Colombia,ANA MARIA MESA ELNESER,3
00009,002,Generación de Contenido Multimedia,Entrevista,Socialización de resultados de avance categoría Ambiente,2011,Colombia,JORGE EDUARDO VASQUEZ SANTAMARIA,3
00010,002,Generación de Contenido Multimedia,Mesa redonda,Presentación del proyecto de investigación PARTICIPACIÓN CIUDADANA EN LA CONSTRUCCIÓN DE CIUDADANÍA PARA LA PROTECCIÓN Y MEJORAMIENTO DEL AMBIENTE EN EL MUNICIPIO DE SABANETA,2011,Colombia,"JORGE EDUARDO VASQUEZ SANTAMARIA, MARIA TERESA CASTRILLON ALZATE, CAROLINA MONTES ROJAS",3
