id,categoria,tipo_producto,titulo,anio,tipologia,id_grupo,cuartil_scimago,categoria_publindex,ano_fuente_cuartil,ano_fuente_publindex
00001,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,Desarrollo de Sistema de Gestión de Información (SGI) para el análisis de créditos,2024,4,001,,,,
00002,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,Sistema para medir el indicador de rellamado en el contact center,2024,4,001,,,,
00003,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,Sistema de Información Para La Gestión de Cartera Desmontada de la Empresa Emas by Veolia.,2024,4,001,,,,
00004,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,Estrategia de Implementación de una Bodega de Datos para Aguas de Manizales,2024,4,001,,,,
00005,Trabajos dirigidos/turorías,Trabajos dirigidos/Tutorías de otro tipo,Modelo de Aprendizaje para la toma de decisiones basadas en datos en la Oficina de Mercadeo y Comunicaciones de la Universidad Católica Luis Amigó sede Manizales.,2024,4,001,,,,
00006,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Transformación digital en la industria del tratamiento del agua: El rol fundamental del análisis de datos,2024,4,001,,,,
00007,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,"Análisis mediante revisión documental de la problemática del abastecimiento de agua potable en Guadalajara, México",2023,4,001,,,,
00008,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,ANÁLISIS DEL DESEMPEÑO DE MEZCLAS ASFÁLTICAS SEMI DENSAS EN CALIENTE CON INCORPORACIÓN DE RAP PARA LA REHABILITACIÓN Y CONSTRUCCIÓN DE VÍAS.,2023,4,001,,,,
00009,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Desarrollo de una aplicación móvil de recomendación de productos para el cuidado de la piel utilizando inteligencia artificial.,2024,4,001,,,,
00010,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Desarrollo web para la localización y reconocimiento de mascotas en situación de calle en el Área Metropolitana del Valle de Aburrá,2024,4,001,,,,
00011,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Desarrollo de un aplicativo móvil para la gestión de reservas y analítica de clientes en locales de comida de la Universidad Católica Luis Amigó,2024,4,001,,,,
00012,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Diseño e implementación de cerradura inteligente utilizando la placa de desarrollo Arduino Uno,2023,4,001,,,,
00013,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Desarrollo de sistemas de recomendación de comidas en restaurantes impulsados por tecnologías de procesamiento de lenguaje natural PLN,2023,4,001,,,,
00014,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Desarrollo de un Sistema de Votación Electrónica con Uso de Blockchain y Reconocimiento Facial.,2023,4,001,,,,
00015,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,"Ley de delitos informáticos colombiana, el convenio de Budapest y otras legislaciones: Estudio comparativo",2024,4,001,,,,
00016,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Implementación de un sistema de generación automática de pruebas basado en Inteligencia Artificial para procesos de selección de personal en el sector TI,2023,4,001,,,,
00017,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Desarrollo de una aplicación móvil de autoservicio para restaurantes con sistema de tags y recomendaciones personalizadas.,2023,4,001,,,,
00018,Trabajos dirigidos/turorías,Trabajos de grado de pregrado,Implementación de un Chatbot de autogestión de información para la unidad de negocio B2B de Tigo: B2Bot.,2023,4,001,,,,
