id,id_grupo,categoria,tipo_producto,titulo,ano,autores,tipologia
00001,001,Informes de investigación,Informes de investigación,Prototipo Funcional para Gestión del Conocimiento y Recuperación de Memoria Histórica en CORANTIOQUIA,2015,GABRIEL JAIME CORREA HENAO,3
00002,001,Informes de investigación,Informes de investigación,Informe final - Madurez de la gestión del conocimiento de las grandes empresas de la ciudad de Medellín,2010,EDGAR SERNA M,3
00003,001,Informes de investigación,Informes de investigación,Segundo informe de avance del proyecto,2009,EDGAR SERNA M,3
00004,001,Informes de investigación,Informes de investigación,Primer informe de la Investigacion,2009,EDGAR SERNA M,3
00005,002,Informes de investigación,Informes de investigación,601_FO_MI051 Informe final del proyecto de investigación: Cambios del Derecho Administrativo a partir de los mecanismos de actuación de la administración en el Estado Social y Democrático de Derecho (ESDD): El ordenamiento territorial.,2023,JORGE EDUARDO VASQUEZ SANTAMARIA,3
00006,002,Informes de investigación,Informes de investigación,"601_FO_MI051 Informe final del proyecto de investigación: Acceso a la justicia, a la información y a la participación democrática para la protección de derechos colectivos y del ambiente: Fase III - Ejercicio de los derechos de acceso en asuntos ambientales de la minoría étnica raizal.",2023,"JORGE EDUARDO VASQUEZ SANTAMARIA, ANA MARIA ROLDAN VILLA",3
00007,002,Informes de investigación,Informes de investigación,Informe Final: Estándares internacionales de la reparación simbólica colectiva en el contexto colombiano. 2016-2022,2023,ELVIGIA CARDONA ZULETA,3
00008,002,Informes de investigación,Informes de investigación,Tendencias de la Disciplina Jurídica,2022,ELVIGIA CARDONA ZULETA,3
00009,002,Informes de investigación,Informes de investigación,Informe Final del Proyecto de Investigación: Representaciones del perdón y la memoria en la literatura infantil colombiana en las últimas dos décadas como una fuente a través de la cual se pueden abordar las afectaciones a derechos producto del conflicto armado interno,2022,"JORGE EDUARDO VASQUEZ SANTAMARIA, NATALIA ANDREA ALZATE ALZATE, ANA PATRICIA PABON MANTILLA",3
00010,002,Informes de investigación,Informes de investigación,Informe Ejecutivo Apuentes para la Creación del Centro Integral Familia con perspectiva de género,2022,ELVIGIA CARDONA ZULETA,3
00011,002,Informes de investigación,Informes de investigación,Retos para el cierre de brechas de género en la ciudad de Medellín,2022,ELVIGIA CARDONA ZULETA,3
00012,002,Informes de investigación,Informes de investigación,Informe ejecutivo Propuesta para la creación del Centro Integral Familiar con perspectiva de género 2022,2022,ELVIGIA CARDONA ZULETA,3
00013,002,Informes de investigación,Informes de investigación,Informe Final Reparación Integral Violencia Sexual,2022,"ELVIGIA CARDONA ZULETA, ANA MARIA ROLDAN VILLA",3
00014,002,Informes de investigación,Informes de investigación,Informe avance Cátedra de Paz- UCO,2021,ELVIGIA CARDONA ZULETA,3
00015,002,Informes de investigación,Informes de investigación,Informe Transformación de la Investigación: Revistas del área jurídica y sociojurídica vigentes y categorizadas en publindex 2021,2021,ELVIGIA CARDONA ZULETA,3
00016,002,Informes de investigación,Informes de investigación,"Informe Autoevaluación con fines de Reacreditación Factor 7- Bienestar, Deserción, Permanencia y Diversidad 2016-2020",2020,ELVIGIA CARDONA ZULETA,3
00017,002,Informes de investigación,Informes de investigación,Informe final Debates Contemporáneos del Derecho de Familia desde perspectiva de equidad de género,2020,ELVIGIA CARDONA ZULETA,3
00018,002,Informes de investigación,Informes de investigación,601_FO-MI-146_-_Informe_final_de_productos_de_investigacion_Jenny Acevedo2020,2020,JENNY MARCELA ACEVEDO VALENCIA,3
00019,002,Informes de investigación,Informes de investigación,"Informe final Acceso a la justicia para la protección de derechos colectivos y del ambiente, el acceso a la información y la participación democrática: Fase I Medellín, Acciones Populares.",2020,"JORGE EDUARDO VASQUEZ SANTAMARIA, CAROLINA RESTREPO MUNERA",3
00020,002,Informes de investigación,Informes de investigación,Informe parcial Factores de Inclusión y Permanencia,2020,ELVIGIA CARDONA ZULETA,3
00021,002,Informes de investigación,Informes de investigación,Informe de Autoevaluación Factor 7 Bienestar- Permanencia Estudiantil Derecho,2020,ELVIGIA CARDONA ZULETA,3
00022,002,Informes de investigación,Informes de investigación,Informe final de proyectos de investigación,2019,ROBERTO MAURICIO ROMERO CARDENAS,3
00023,002,Informes de investigación,Informes de investigación,Informe final de proyectos de investigación,2019,ROBERTO MAURICIO ROMERO CARDENAS,3
00024,002,Informes de investigación,Informes de investigación,601_FO-MI-051_-_Informe_final_de_proyectos_de_investigacion_Nov 2019,2019,JENNY MARCELA ACEVEDO VALENCIA,3
00025,002,Informes de investigación,Informes de investigación,Informe final de proyectos de investigación,2018,ROBERTO MAURICIO ROMERO CARDENAS,3
00026,002,Informes de investigación,Informes de investigación,Informe final Responsabilidad social empresarial en el marco del posacuerdo de paz,2017,JORGE IVAN GAVIRIA MESA,3
00027,002,Informes de investigación,Informes de investigación,Informe final de proyectos de investigación,2017,ROBERTO MAURICIO ROMERO CARDENAS,3
00028,002,Informes de investigación,Informes de investigación,Informe parcial de gestión Responsabilidad Social Empresarial en el marco del posacuerdo de paz,2017,JORGE IVAN GAVIRIA MESA,3
00029,002,Informes de investigación,Informes de investigación,INFORME FINAL DE LA INVESTIGACIÓN AMBIENTE SANO Y VIVIENDA DIGNA: CONFRONTACIONES EN LA ELABORACIÓN Y EJECUCIÓN DE PROYECTOS URBANOS DE MEDELLÍN,2011,JORGE EDUARDO VASQUEZ SANTAMARIA,3
00030,002,Informes de investigación,Informes de investigación,INFORME DE AVANCE PARCIAL PERIODO 2011 - 2 INFORMÁTICA FORENSE Y SU APLICACIÓN EN LA INVESTIGACIÓN DE LOS DELITOS INFORMÁTICOS CONSAGRADOS EN LA LEY 1273 DE 2009,2011,ANA MARIA MESA ELNESER,3
00031,002,Informes de investigación,Informes de investigación,Primer inorme de avance INFORMÁTICA FORENSE Y SU APLICACIÓN EN LA INVESTIGACIÓN DE LOS DELITOS INFORMÁTICOS CONSAGRADOS EN LA LEY 1273 DE 2009.,2011,ANA MARIA MESA ELNESER,3
00032,002,Informes de investigación,Informes de investigación,PRIMER INFORME DE AVANCE DEL PROYECTO DE INVESTIGACIÓN AMBIENTE SANO Y VIVIENDA DIGNA: CONFRONTACIONES EN LA ELABORACIÓN Y EJECUCIÓN DE PROYECTOS URBANOS DE MEDELLÍN,2011,JORGE EDUARDO VASQUEZ SANTAMARIA,3
00033,002,Informes de investigación,Informes de investigación,INFORME FINAL REPENSANDO LA FORMACIÓN DE LOS PROFESIONALES DEL DERECHO: CONSTRUCCIÓN DE UNA PROPUESTA PEDAGÓGICA PERTINENTE PARA LOS PROGRAMAS DE DERECHO EN COLOMBIA,2010,JORGE EDUARDO VASQUEZ SANTAMARIA,3
00034,002,Informes de investigación,Informes de investigación,Informe de avance REPENSANDO LA FORMACIÓN DE LOS PROFESIONALES DEL DERECHO: HACIA LA CONSTRUCCIÓN DE UNA PROPUESTA PEDAGÓGICA PERTINENTE PARA LOS PROGRAMAS DE DERECHO EN COLOMBIA,2010,JORGE EDUARDO VASQUEZ SANTAMARIA,3
00035,002,Informes de investigación,Informes de investigación,Informe sobre la revisión doctrinal sobre la temática de ley de infancia y adolescencia y en especial sobre la categoría de alimentación en el contexto nacional e internacional.,2010,ANA MARIA MESA ELNESER,3
00036,002,Informes de investigación,Informes de investigación,Informe Final del proyecto de Investigación Aplicabilidad de las disposiciones normativas del Derecho urbano en relación al espacio y al territorio en Colombia. 2000 - 2007,2010,JORGE EDUARDO VASQUEZ SANTAMARIA,3
00037,002,Informes de investigación,Informes de investigación,SEGUNDO INFORME DE AVANCE DEL PROYECTO DE INVESTIGACIÓN APLICABILIDAD DE LAS DISPOSICIONES DEL DERECHO URBANO EN RELACIÓN AL ESPACIO Y AL TERRITORIO EN COLOMBIA 2000 ¿ 2007,2009,JORGE EDUARDO VASQUEZ SANTAMARIA,3
00038,002,Informes de investigación,Informes de investigación,"Quinto informe del proyecto de investigación ""Aplicabilidad de las disposiciones normativas del Derecho Urbano en relación al territorio y al espacio en Colombia 2000 - 2007""",2009,MARIA CLARA SANCHEZ VELEZ,3
00039,002,Informes de investigación,Informes de investigación,PERFILES Y BASE DE DATOS PARA EL PROYECTO DE INVESTIGACIÓN ¿APLICABILIDAD DE LAS DISPOSICIONES NORMATIVAS DEL DERECHO URBANO EN RELACIÓN AL ESPACIO Y AL TERRITORIO EN COLOMBIA 2000 - 2007¿.,2009,MARIA CLARA SANCHEZ VELEZ,3
00040,002,Informes de investigación,Informes de investigación,PRIMER INFORME DE AVANCE DEL PROYECTO DE INVESTIGACIÓN APLICABILIDAD DE LAS DISPOSICIONES DEL DERECHO URBANO EN RELACIÓN AL ESPACIO Y AL TERRITORIO EN COLOMBIA 2000 ¿ 2007,2009,JORGE EDUARDO VASQUEZ SANTAMARIA,3
00041,002,Informes de investigación,Informes de investigación,Informe escrito sobre el rastreo bibliográfico doctrinal de las categorías espacio y territorio en Colombia 2000 - 2007.,2009,MARIA CLARA SANCHEZ VELEZ,3
00042,002,Informes de investigación,Informes de investigación,Informe escrito de la revisión doctrinal sobre la categoría espacio. Fichas Bibliográficas sustento de la revisión sobre la categoría espacio para el periodo 2000 ¿ 2007.,2009,MARIA CLARA SANCHEZ VELEZ,3
00043,003,Informes de investigación,Informes de investigación,Informe final Investigación,2018,NESTOR EDUARDO FLOREZ OVIEDO,3
00044,003,Informes de investigación,Informes de investigación,Informe final 2018,2018,NESTOR EDUARDO FLOREZ OVIEDO,3
00045,003,Informes de investigación,Informes de investigación,Informe parcial trabajo de investigación,2018,NESTOR EDUARDO FLOREZ OVIEDO,3
00046,003,Informes de investigación,Informes de investigación,Informe 2018-01,2018,NESTOR EDUARDO FLOREZ OVIEDO,3
00047,003,Informes de investigación,Informes de investigación,"Creatividad y Flexibilidad Cognitiva en una Muestra de Reclusos Beneficiarios del Posacuerdo Colombiano en la Cárcel de Bellavista en Medellín, Colombia.",2018,"SINDY YULIANA GALLEGO TAVERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS",3
00048,003,Informes de investigación,Informes de investigación,Imaginarios sobre la innovación y generación de conocimiento en arquitectos de Medellín,2016,JUAN SANTIAGO CALLE PIEDRAHITA,3
00049,003,Informes de investigación,Informes de investigación,Análisis innovación G4S definitivo,2015,JORMARIS MARTINEZ GOMEZ,3
00050,003,Informes de investigación,Informes de investigación,Transferencia de Conocimiento en la Fundación Universitaria Luis Amigó,2012,CARLOS ANDRES ARISTIZABAL BOTERO,3
00051,003,Informes de investigación,Informes de investigación,SISTEMA DE INDICADORES DE CIENCIA Y TECNOLOGÍA EN LA FUNLAM CON ÉNFASIS EN EL SEGUIMIENTO Y MEDICIÓN DEL IMPACTO SOCIAL,2010,CARLOS ANDRES ARISTIZABAL BOTERO,3
00052,003,Informes de investigación,Informes de investigación,INDICADORES SOCIALES DE CIENCIA Y TECNOLOGÍA DE LA FUNDACIÓN UNIVERSITARIA LUIS AMIGÓ.,2009,CARLOS ANDRES ARISTIZABAL BOTERO,3
00053,003,Informes de investigación,Informes de investigación,GERENCIA DEL CONOCIMIENTO EN EL SECTOR PÚBLICO DE LA CIUDAD DE MEDELLÍN. ESTUDIO DE CASOS DE PRÁCTICAS ACTUALES,2008,CARLOS ANDRES ARISTIZABAL BOTERO,3
00054,003,Informes de investigación,Informes de investigación,Impacto Socioeconómico de los Egresados del Programa de Administración de Empresas de la Fundación Universitaria Luis Amigó.,2008,JOSE ENRIQUE ARIAS PEREZ,3
00055,003,Informes de investigación,Informes de investigación,INCIDENCIA DE LAS DIMENSIONES CONTEXTUALES QUE FACILITAN LA GESTIÓN DEL CONOCIMIENTO ESTUDIO DE CASOS ECOPETROL-EPM. 2007,2007,CARLOS ANDRES ARISTIZABAL BOTERO,3
