id,id_grupo,categoria,titulo,ano,tipologia
00001,001,Informes técnicos,"Gestión de la Información, el Conocimiento y las Comunicaciones en CORANTIOQUIA",2014,2
00002,001,Informes técnicos,Prototipo Funcional para Gestión del Conocimiento y Recuperación de Memoria Histórica en CORANTIOQUIA,2014,2
00003,001,Informes técnicos,INSTRUMENTALIZACIÓN Y FUNCIONAMIENTO DEL MODELO DE GESTIÓN DE LA INFORMACIÓN Y EL CONOCIMIENTO CORPORATIVO,2015,2
00004,002,Informes técnicos,,,2
00005,003,Informes técnicos,ADAPTACIÓN DEL SISTEMA CONTABLE-FINANCIERO DE LA EMPRESA ÓSCAR GOEZ CONSTRUCCIONES S.A.S.,2018,2
00006,003,Informes técnicos,ADAPTACIÓN DEL SISTEMA CONTABLE-FINANCIERO DE LA EMPRESA INVERSIONES MARIN ROLDAN S.A.S,2018,2
00007,004,Informes técnicos,Elaboracion del plan decenal de economia social y solidaria de Medellin,2015,2
00008,005,Informes técnicos,Diagn¿stico de cultura organizacional a trav¿s de las open cards,2017,2
00009,006,Informes técnicos,,,2
00010,007,Informes técnicos,,,2
00011,008,Informes técnicos,Como informar un suicidio. Prevención del comportamiento suicida,2018,2
00012,008,Informes técnicos,"Como identificar señales de alerta y generar estrategias de intervención, para la prevención del comportamiento suicida",2018,2
00013,009,Informes técnicos,"Informe de gestión técnico y financiero del convenio de cooperación para actividades de ciencia, tecnología e innovación No.024 de 2017, celebrado entre la Corporación Autónoma de los Valles del Sinú y del San Jorge y la Universidad Católica Luis Amigó.",2017,2
00014,010,Informes técnicos,,,2
00015,011,Informes técnicos,Estudio Poblacional de Salud Mental en Envigado,2024,2
00016,012,Informes técnicos,,,2
00017,013,Informes técnicos,,,2
00018,014,Informes técnicos,ADAPTACIÓN DEL SISTEMA CONTABLE-FINANCIERO DE LA EMPRESA COOPERATIVA MULTIACTIVA LUIS AMIGO,2018,2
