id,id_grupo,categoria,tipo_producto,titulo,pais,ano,institucion,autores,tipologia
00001,001,Innovaciones generadas en la Gestión Empresarial,Organizacional,"Programa de entrenamiento de la cognición social, la memoria de trabajo y el rendimiento académico para jóvenes infractores de la ley con trastorno antisocial de la personalidad (TAP)",Colombia,2020,Religiosos Terciarios Capuchinos de Nuestra Señora de los Dolores,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA",2
00002,001,Innovaciones generadas en la Gestión Empresarial,Organizacional,Implementación de un modelo matemático aplicado a la geotecnia,Colombia,2019,UNIVERSIDAD CATOLICA LUIS AMIGO,SHIRLENE PATRICIA VEGA ROYERO,2
00003,002,Innovaciones generadas en la Gestión Empresarial,Empresarial,AL DIA CON TU SALUD MENTAL(CAMPAÑAS DE COMUNICACION PARA LA PREVENCION DEL SUICIDIO LA UNIO EN FASE 6-2023,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,"ANGEL AUGUSTO VIZCAYA CASTILLO, OMAR AUGUSTO AMADOR SANCHEZ, ELIZA KRATC GIL, MARCOS FIDEL VEGA SENA, SANDRA ISABEL MEJIA ZAPATA, DIEGO LEON CARVAJAL SERNA, JOHN JAIRO GARCIA PENA, GLORIA CARDONA, DAVID IGNACIO MOLINA VELASQUEZ, MARIA VICTORIA RESTREPO TOBON",2
00004,002,Innovaciones generadas en la Gestión Empresarial,Empresarial,"Programa de acompañamiento en prevención,atención y seguimiento al comportamiento suicida en Itagüí Fase 6-2023",Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,"ANGEL AUGUSTO VIZCAYA CASTILLO, OMAR AUGUSTO AMADOR SANCHEZ, ELIZA KRATC GIL, MARCOS FIDEL VEGA SENA, SANDRA ISABEL MEJIA ZAPATA, DIEGO LEON CARVAJAL SERNA, JOHN JAIRO GARCIA PENA, GLORIA CARDONA, DAVID IGNACIO MOLINA VELASQUEZ, MARIA VICTORIA RESTREPO TOBON",2
00005,002,Innovaciones generadas en la Gestión Empresarial,Organizacional,Piezas comunicaciones prevención del suicidio,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,ANGEL AUGUSTO VIZCAYA CASTILLO,2
00006,002,Innovaciones generadas en la Gestión Empresarial,Empresarial,AL DIA CON TU SALUD MENTAL(CAMPAÑAS DE COMUNICACION PARA LA PREVENCION DEL SUICIDIO LA UNION EN FASE 6-2023,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,"ANGEL AUGUSTO VIZCAYA CASTILLO, OMAR AUGUSTO AMADOR SANCHEZ, ELIZA KRATC GIL, MARCOS FIDEL VEGA SENA, SANDRA ISABEL MEJIA ZAPATA, DIEGO LEON CARVAJAL SERNA, JOHN JAIRO GARCIA PENA, GLORIA CARDONA, DAVID IGNACIO MOLINA VELASQUEZ, MARIA VICTORIA RESTREPO TOBON",2
00007,002,Innovaciones generadas en la Gestión Empresarial,Empresarial,PROTOCOLO DE AUTOPSIA PSICOLOGICA DEL MUNICIPIO DE SANTA ROSA DE OSOS -PAPSRO EN FASE 6-2023,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,"ANGEL AUGUSTO VIZCAYA CASTILLO, OMAR AUGUSTO AMADOR SANCHEZ, ELIZA KRATC GIL, MARCOS FIDEL VEGA SENA, SANDRA ISABEL MEJIA ZAPATA, DIEGO LEON CARVAJAL SERNA, JOHN JAIRO GARCIA PENA, GLORIA CARDONA, DAVID IGNACIO MOLINA VELASQUEZ, MARIA VICTORIA RESTREPO TOBON",2
00008,002,Innovaciones generadas en la Gestión Empresarial,Empresarial,Acompañamiento en la construcción de ruta integral de atención en salud mental local en Carmen de Viboral Fase 6-2023,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,"ANGEL AUGUSTO VIZCAYA CASTILLO, OMAR AUGUSTO AMADOR SANCHEZ, ELIZA KRATC GIL, MARCOS FIDEL VEGA SENA, SANDRA ISABEL MEJIA ZAPATA, DIEGO LEON CARVAJAL SERNA, JOHN JAIRO GARCIA PENA, GLORIA CARDONA, DAVID IGNACIO MOLINA VELASQUEZ, MARIA VICTORIA RESTREPO TOBON",2
00009,002,Innovaciones generadas en la Gestión Empresarial,Empresarial,PROTOCOLO DE ENTREVISTA PARA EL INTENTO DE SUICIDIO DEL MUNICIPIO DE SANTA ROSA DE OSOS EN FASE 6-2023,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,"ANGEL AUGUSTO VIZCAYA CASTILLO, OMAR AUGUSTO AMADOR SANCHEZ, ELIZA KRATC GIL, MARCOS FIDEL VEGA SENA, SANDRA ISABEL MEJIA ZAPATA, DIEGO LEON CARVAJAL SERNA, JOHN JAIRO GARCIA PENA, GLORIA CARDONA, DAVID IGNACIO MOLINA VELASQUEZ, MARIA VICTORIA RESTREPO TOBON",2
00010,002,Innovaciones generadas en la Gestión Empresarial,Organizacional,Programa de detección temprana en conductas psicojurídicas que pudieron desencadenar en violencia letal hacia la mujer,Colombia,2018,UNIVERSIDAD CATOLICA LUIS AMIGO,"RODRIGO ORLANDO OSORIO MONTOYA, JUAN DIEGO BETANCUR ARIAS, ISABEL CRISTINA PUERTA LOPERA",2
