id,id_grupo,categoria,info_9,tipo_producto,titulo,pais,ano,autores,tipologia
00001,001,Libros publicados,,Libro resultado de investigación,Estrategias de mediación tecnológica para promover el aprendizaje autónomo de los estudiantes universitarios,Colombia,2019,MARIO ALEJANDRO LOPEZ OCAMPO,1
00002,001,Libros publicados,,Libro resultado de investigación,Ecuaciones Lineal Y Cuadrática,Colombia,2012,GABRIEL JAIME POSADA HERNANDEZ,1
00003,001,Libros publicados,,Libro resultado de investigación,Ecuaciones Lineal Y Cuadrática,Colombia,2012,GABRIEL JAIME POSADA HERNANDEZ,1
00004,001,Libros publicados,,Libro resultado de investigación,Potenciación Y Radicación,Colombia,2012,MAURICIO LOPEZ BONILLA,1
00005,002,Libros publicados,,Libro resultado de investigación,Cátedra de la paz desde una perspectiva feminista. Herramientas para un pregrado en derecho,Colombia,2024,ELVIGIA CARDONA ZULETA,1
00006,002,Libros publicados,,Libro resultado de investigación,Estrategias de intervención y posvencion del comportamiento suicida,Colombia,2022,"ANGEL AUGUSTO VIZCAYA CASTILLO, GLORIA CECILIA CARDONA RIOS, OMAR AUGUSTO AMADOR SANCHEZ, ELIZA KRATC GIL, MARCOS FIDEL VEGA SENA, SANDRA ISABEL MEJIA ZAPATA, JOHN JAIRO GARCIA PENA, JHOEEN SNEYDER ROJAS DIAZ, DAVID IGNACIO MOLINA VELASQUEZ, MARIA VICTORIA RESTREPO TOBON",1
00007,002,Libros publicados,,Libro resultado de investigación,"EXPEDICIÓN PACÍFICA: TERRITORIALIZANDO LA PAZ: UNA EXPERIENCIA DE INVESTIGACIÓN-ACCIÓN-CREACIÓN EN PERSPECTIVA PERFORMATIVA CREATIVA CON NIÑOS, NIÑAS, JÓVENES Y A: TERRITORIALIZANDO LA PAZ",Colombia,2022,"ROBERTO MAURICIO ROMERO CARDENAS, VICTOR HUGO OCHOA GOMEZ, PAOLA ANDREA TORO TORO",1
00008,002,Libros publicados,,Libro resultado de investigación,"Formación con perspectiva de género, una tarea pendiente. El caso de los asuntos de alimentos tramitados por el Consultorio Jurídico de la Universidad de Antioquia, Medellín",Colombia,2021,ELVIGIA CARDONA ZULETA,1
00009,002,Libros publicados,,Libro resultado de investigación,El desplazamiento forzado en las sentencias de la Corte Interamericana de Derechos Humanos,Ecuador,2021,"JUAN ESTEBAN AGUIRRE ESPINOSA, FABIO ANDRES URIBE PALACIO",1
00010,002,Libros publicados,,Libro resultado de investigación,"Feminicidio. Poder, desigualdad, subordinación e impunidad: no más invisibilidad",Colombia,2017,RODRIGO ORLANDO OSORIO MONTOYA,1
00011,002,Libros publicados,,Libro resultado de investigación,Los Partidos Políticos En La Constitución De 1991,Colombia,2015,PAULO BERNARDO ARBOLEDA RAMIREZ,1
