id,id_grupo,categoria,info_9,tipo_producto,titulo,pais,ano,autores,tipologia
00001,001,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Educación Virtual: Escenarios para la Afectividad y la Convivencia.,Colombia,2007,JOSE EUCARIO PARRA CASTRILLON,1
00002,002,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Tendencias actuales de la investigación jurídica y sociojurídica,Colombia,2023,ELVIGIA CARDONA ZULETA,1
00003,002,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Expedición pacífica. Territorios de paz. Libro arte.,Colombia,2022,PAOLA ANDREA CARMONA TORO,1
00004,002,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,El Estado Colombiano en el Modelo Teórico de Thomas Hobbes,Colombia,2015,JORGE IVAN GAVIRIA MESA,1
00005,003,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Evolución de la Administración,Colombia,2018,"JAIME ALBERTO BELTRAN RIOS, JOSE ANTONIO LOPEZ GIRALDO",1
00006,003,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Organización Y Conocimiento,Colombia,2011,CARLOS MARIO DURANGO YEPES,1
00007,003,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,"Congreso Internacional De Administración, Universidad Pedagógica Y Tecnológica De Colombia",Colombia,2011,CARLOS MARIO DURANGO YEPES,1
00008,003,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,La Fundamentación Epistemológica de la Disciplina Administrativa Desde la Perspectiva de las Ciencias Sociales,Colombia,2009,"CARLOS MARIO DURANGO YEPES, NELSON ENRIQUE LOZADA",1
00009,004,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Historia y perspectivas de la especialización de gestión de empresas de la economía social y solidaria de la Javeriana,Colombia,2025,"HERNANDO EMILIO ZABALA SALAZAR, JUAN FERNANDO ALVAREZ RODRIGUEZ",1
00010,005,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Violencias basadas en género: la otra tragedia de Colombia. Planteamientos académicos,Colombia,2022,OMAR AUGUSTO AMADOR SANCHEZ,1
00011,005,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Violencias basadas en género: la otra tragedia de Colombia. Planteamientos académicos,Colombia,2022,JUAN DIEGO BETANCUR ARIAS,1
00012,005,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Educación y Covid-19: reflexiones académicas en tiempos de pandemia,Colombia,2021,OMAR AUGUSTO AMADOR SANCHEZ,1
00013,005,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Ética profesional y Responsabilidad Social Universitaria,Colombia,2016,"PAULA ANDREA MONTOYA ZULUAGA, OLBER EDUARDO ARANGO TOBON, ISABEL CRISTINA PUERTA LOPERA",1
00014,005,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Estrategia En Investigación 2022 (Ei2022),Colombia,2012,"ISABEL CRISTINA PUERTA LOPERA, JOSE WILMAR SANCHEZ",1
00015,006,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Anatomía de un resentimiento. Invención mediática del psicópata de Pozzeto,Colombia,2025,JAIRO GUTIERREZ AVENDANO,1
00016,006,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Educación y COVID-19 Reflexiones académicas en tiempo de pandemia,Colombia,2021,CLAUDIA MARCELA ARANA MEDINA,1
00017,006,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,Congreso Internacional de Pedagogía Amigoniana: Perspectivas desafíos del siglo XXI,Colombia,2018,SANDRA JULIET CLAVIJO ZAPATA,1
00018,006,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,"Crianza De Uno, Crianza De Todos",Colombia,2012,"ADRIANA MARIA GALLEGO HENAO, NATALIA ANDREA ALZATE ALZATE, LUISA FERNANDA RIOS",1
00019,007,Libros de divulgación y/o Compilación de divulgación,,Libros de divulgación y/o Compilación de divulgación,"Extraedad escolar en niños, niñas y adolescentes",Colombia,2025,EDISON FRANCISCO VIVEROS CHAVARRIA,1
