id,id_grupo,categoria,tipo_producto,titulo,pais,ano,autores,tipologia
00001,001,Libros de formación,Libros de formación,Estadística descriptiva y probabilidad,Colombia,2019,ANDRES MAURICIO GRISALES AGUIRRE,1
00002,001,Libros de formación,Libros de formación,Elementos Básicos de Matemáticas con Herramientas Interactivas,Colombia,2018,ANDRES MAURICIO GRISALES AGUIRRE,1
00003,002,Libros de formación,Libros de formación,Introducción a la investigación. Claves para estudiantes universitarios,Colombia,2024,JENNY MARCELA ACEVEDO VALENCIA,1
00004,002,Libros de formación,Libros de formación,Expedición Pacífica: Pedagogías de la Memoria y Reconciliación en Escenarios Escolares.,Colombia,2022,"PAOLA ANDREA CARMONA TORO, LINA MARCELA CARDONA SALAZAR, SARA VICTORIA ALVARADO SALGADO, MARIA CAMILA OSPINA ALVARADO",1
00005,002,Libros de formación,Libros de formación,"Convidarte para la Paz: Niñas y niños de la primera Infancia, Familias Docentes y Agentes educativas",Colombia,2020,"PAOLA ANDREA CARMONA TORO, MARIA CAMILA OSPINA ALVARADO, LINA MARCELA CARDONA SALAZAR",1
00006,003,Libros de formación,Libros de formación,Investigación cualitativa. Claves para estudiantes universitarios,Colombia,2024,"LUIS FERNANDO QUINTERO ARANGO, JAIRO GUTIERREZ AVENDANO, HEIDI SMITH PULIDO VARON",1
00007,003,Libros de formación,Libros de formación,Situaciones y retos de la investigación en Latinoamérica,Colombia,2018,JUAN SANTIAGO CALLE PIEDRAHITA,1
00008,003,Libros de formación,Libros de formación,Situaciones y Retos de la Investigación en Latinoamerica,Colombia,2018,"LUIS FERNANDO QUINTERO ARANGO, JUAN DIEGO BETANCUR ARIAS, ADRIANA MARIA GALLEGO HENAO, CARLOS ANDRES ARISTIZABAL BOTERO, PAULA ANDREA MONTOYA ZULUAGA, FELIX RAFAEL BERROUET MARIMON, MARIO ALEJANDRO LOPEZ OCAMPO, VIVIANA ELOISA GOMEZ RENGIFO, MAGDA VICTORIA DIAZ ALZATE, JOSE FEDERICO AGUDELO TORRES, MARIA MERCEDES GOMEZ CORREA, SONIA NATALIA COGOLLO OSPINA, LUIS FERNANDO CARDONA PALACIO, MARCELA ARROYAVE HINCAPIE, HEIDI SMITH PULIDO VARON, BEATRIZ ELENA GARCIA CHACON, JAIRO GUTIERREZ AVENDANO, EDGAR OCAMPO RUIZ, NICOLASA MARIA DURAN PALACIO, STEFANI CASTANO TORRES, JUAN SANTIAGO CALLE PIEDRAHITA, NORMAN DARIO MORENO CARMONA, KATY LUZ MILLAN OTERO",1
00009,004,Libros de formación,,,,,,1
00010,005,Libros de formación,Libros de formación,"""Situaciones y retos de la investigación en Latinoamérica""",Colombia,2018,"JUAN DIEGO BETANCUR ARIAS, LUIS FERNANDO QUINTERO ARANGO, PAULA ANDREA MONTOYA ZULUAGA",1
