id,id_grupo,categoria,tipo_producto,titulo,pais,ano,autores,tipologia
00001,001,Manuales y Guías Especializadas,,,,,,1
00002,002,Manuales y Guías Especializadas,,,,,,1
00003,003,Manuales y Guías Especializadas,,,,,,1
00004,004,Manuales y Guías Especializadas,,,,,,1
00005,005,Manuales y Guías Especializadas,Manuales y Guías Especializadas,¿Cómo es la relación entre cognición social y trastorno disocial de la conducta?,Colombia,,"PAULA ANDREA MONTOYA ZULUAGA, OLBER EDUARDO ARANGO TOBON",1
00006,006,Manuales y Guías Especializadas,,,,,,1
00007,007,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Familia y dinámica familiar. Cartilla dirigida a facilitadores para la aplicación de talleres con familias,Colombia,,EDISON FRANCISCO VIVEROS CHAVARRIA,1
00008,008,Manuales y Guías Especializadas,Manuales y Guías Especializadas,"Manual De Prevencion Del Suicidio Para Instituciones Educativas. ¿Que Hacer En Caso De Suicidio Consumado, Intento De Suicidio O Ideacion Suicida De Nuestros Estudiantes?",Colombia,,JAIME ALBERTO CARMONA PARRA,1
00009,008,Manuales y Guías Especializadas,Manuales y Guías Especializadas,"Manual De Prevencion Del Suicidio Para Instituciones Educativas. ¿Que Hacer En Caso De Suicidio Consumado, Intento De Suicidio O Ideacion Suicida De Nuestros Estudiantes?",Colombia,,JAIME ALBERTO CARMONA PARRA,1
00010,008,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Kit Educativo: Universidades Preventivas,Colombia,,"CRISTOBAL OVIDIO MUNOZ ARROYAVE, CAROLINA MONTOYA MONTOYA, GUSTAVO ADOLFO CALDERON",1
00011,009,Manuales y Guías Especializadas,,,,,,1
00012,010,Manuales y Guías Especializadas,,,,,,1
00013,011,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Kit Educativo: Universidades Preventivas,Colombia,,"GUILLERMO ALONSO CASTANO PEREZ, MARIA CAROLINA MONTOYA MONTOYA, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO",1
00014,011,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Serie Formándonos En Prevención Integral. Módulo 4. Investigación Y Problemáticas Sociales,Colombia,,"LUZ DIOMEDES RAMIREZ URREGO, MARITZA MEJIA, LILLIAN GARCIA DE BRENS, DIANA ROSSI, MONICA MACRESCU, GUILLERMO ALONSO CASTANO PEREZ, CAROLINA MONTOYA MONTOYA",1
00015,011,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,Colombia,,"GUSTAVO ADOLFO CALDERON VALLEJO, GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS",1
00016,011,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Serie Formandonos En Prevencion Integral. Lo Socieducativo En La Prevencion Integral,Colombia,,"GORKA MORENO ARNEDILLO, GRACIELA TOUZE, BRENDA ELIZABETH MELENDEZ ROMERO, GUILLERMO ALONSO CASTANO PEREZ, CAROLINA MONTOYA MONTOYA",1
00017,011,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Serie Formándonos En Prevención Integral. Módulo 1. Formando Formadores,Colombia,,"GUSTAVO ADOLFO CALDERON VALLEJO, GUILLERMO ALONSO CASTANO PEREZ, CAROLINA MONTOYA MONTOYA, ANGELA MARIA PARRA BASTIDAS",1
00018,012,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Cómo se informa suicidio. Una guía para periodistas y comunicadores,Colombia,,"ELIZA KRATC GIL, MARCOS VEGA SENA",1
00019,012,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Puntadas Que Tejen Región (Cartilla),Colombia,,EDWIN ANDRES SEPULVEDA CARDONA,1
00020,013,Manuales y Guías Especializadas,,,,,,1
00021,014,Manuales y Guías Especializadas,,,,,,1
