id,id_grupo,categoria,titulo,revista,ano,tipologia
00001,001,Notas científicas,,,,1
00002,002,Notas científicas,,,,1
00003,003,Notas científicas,,,,1
00004,004,Notas científicas,,,,1
00005,005,Notas científicas,,,,1
00006,006,Notas científicas,,,,1
00007,007,Notas científicas,,,,1
00008,008,Notas científicas,,,,1
00009,009,Notas científicas,,,,1
00010,010,Notas científicas,,,,1
00011,011,Notas científicas,,,,1
00012,012,Notas científicas,,,,1
00013,013,Notas científicas,"Entrevista a Hugo Mujica en Copenhague, el 18 de agosto de 2018",PERSEITAS,2020,1
00014,013,Notas científicas,El anacrónico Marco Aurelio de Pablo Montoya,PERSEITAS,2025,1
00015,013,Notas científicas,"Mi literatura, más que fantástica, es fantasmagórica: entrevista a Pablo Montoya",PERSEITAS,2025,1
00016,014,Notas científicas,,,,1
