id,id_grupo,categoria,titulo,ano,institucion,tipologia
00001,001,Nuevos registros científicos,,,,1
00002,002,Nuevos registros científicos,,,,1
00003,003,Nuevos registros científicos,,,,1
00004,004,Nuevos registros científicos,,,,1
00005,005,Nuevos registros científicos,Effect of computer-based working memory training on instrumental activities of daily living after ischemic stroke: A randomized clinical trial,2020,International Initiative for Impact Evaluation,1
00006,006,Nuevos registros científicos,,,,1
00007,007,Nuevos registros científicos,,,,1
00008,008,Nuevos registros científicos,,,,1
00009,009,Nuevos registros científicos,,,,1
00010,010,Nuevos registros científicos,,,,1
00011,011,Nuevos registros científicos,,,,1
00012,012,Nuevos registros científicos,,,,1
00013,013,Nuevos registros científicos,,,,1
00014,014,Nuevos registros científicos,,,,1
