id,id_grupo,categoria,tipo_producto,titulo,pais,ano,autores,tipologia
00001,001,Otra publicación divulgativa,Otra,Revista Lámpsakos 10,Colombia,2013,GABRIEL JAIME CORREA HENAO,3
00002,001,Otra publicación divulgativa,Otra,Editorial Lampsakos 5,Colombia,2011,EDGAR SERNA M,3
00003,001,Otra publicación divulgativa,Otra,Editorial,Colombia,2010,EDGAR SERNA M,3
00004,001,Otra publicación divulgativa,Otra,Editorial,Colombia,2010,EDGAR SERNA M,3
00005,001,Otra publicación divulgativa,Otra,Editorial,Colombia,2009,EDGAR SERNA M,3
00006,001,Otra publicación divulgativa,Otra,Editorial,Colombia,2009,EDGAR SERNA M,3
00007,002,Otra publicación divulgativa,Prólogo,El abogado para el futuro,Colombia,2017,RODRIGO ORLANDO OSORIO MONTOYA,3
00008,002,Otra publicación divulgativa,Prólogo,El Estado colombiano en el Modelo Teórico de Thomas Hobbes,Colombia,2015,MONICA LUCIA GRANDA VIVEROS,3
00009,003,Otra publicación divulgativa,Otra,Aprendizaje en innovación social ligado al emprendimiento de estudiantes de educación primaria,Colombia,2020,"JUAN SANTIAGO CALLE PIEDRAHITA, GLORIA MARIA ISAZA ZAPATA",3
00010,003,Otra publicación divulgativa,Otra,"Creatividad y Flexibilidad Cognitiva en una Muestra de Reclusos Beneficiarios del Posacuerdo Colombiano en la Cárcel de Bellavista en Medellín, Colombia.",Colombia,2018,"SINDY YULIANA GALLEGO TAVERA, NICOLAS PARRA BOLANOS, JUAN SEBASTIAN BENJUMEA GARCES",3
00011,004,Otra publicación divulgativa,Otra,Potenciando los negocios internacionales con la inteligencia artificial: innovación y desarrollo en la optimización de la cadena de suministros,,2026,JUAN JOSE ESPINAL PIEDRAHITA,3
00012,004,Otra publicación divulgativa,Otra,"Pobreza, microfinanzas y género: Estudio de caso entre Medellín-Colombia y Culiacan-México",,2025,"DAVID SALVADOR CISNEROS ZEPEDA, MARTHA DEL SOCORRO ALZATE CARDENAS",3
00013,004,Otra publicación divulgativa,Otra,La Desigualdad en el Tratado de Libre Comercio (TLC) entre Estados Unidos y Colombia: Caso de estudio del sector minero,Colombia,2024,JUAN JOSE ESPINAL PIEDRAHITA,3
00014,004,Otra publicación divulgativa,Epílogo,Las microfinanzas como alternativa de empoderamiento femenino: un estudio comparado entre México y Colombia,Colombia,2024,MARTHA DEL SOCORRO ALZATE CARDENAS,3
00015,004,Otra publicación divulgativa,Otra,Impacto de la crisis de los contenedores en las importaciones de Colombia,Colombia,2022,JUAN JOSE ESPINAL PIEDRAHITA,3
00016,004,Otra publicación divulgativa,Otra,Análisis de impacto y probabilidad de ocurrencia sobre el nivel de cultura organizacional en la implementación de las NIIF en las pymes de la ciudad de Medellín,Colombia,2022,JUAN JOSE ESPINAL PIEDRAHITA,3
00017,004,Otra publicación divulgativa,Otra,IMPACTO DEL SISTEMA TRIBUTARIO COLOMBIANO: UN ANÁLISIS COMPARATIVO DEL RECAUDO Y LAS TRANSFERENCIAS A PARTIR DE LAS ALTERNATIVAS Y LECCIONES APRENDIDAS DE LAS REFORMAS TRIBUTARIAS 2000-2019.,Colombia,2021,JUAN JOSE ESPINAL PIEDRAHITA,3
00018,004,Otra publicación divulgativa,Otra,La empleabilidad de personas con diversidad funcional (discapacidad),Colombia,2018,MARTHA DEL SOCORRO ALZATE CARDENAS,3
00019,004,Otra publicación divulgativa,Otra,MEMORIAS PROSPECTA COLOMBIA - Los principios de constricción y de variedad como barrera natural para la comprensión de la naturaleza compleja de las organizaciones,Colombia,2017,"NELSON MARIN LATORRE ARIAS, ALEJANDRA MARIN BETANCUR, TANIA PAOLA ORTIZ GONZALEZ, ELKIN ORLANDO VELEZ SANCHEZ, GUILLERMO GIRALDO VARGAS, NELSON OCTAVIO CASAS ATEHORTUA",3
00020,004,Otra publicación divulgativa,Epílogo,"MEMORIAS PROSPECTA COLOMBIA - Modelamiento prospectivo de la tendencia de adquirir casa propia o usada, aplicando series de tiempo como método de pronóstico a partir de datos suministrados por la herramienta google trends",Colombia,2017,"NELSON MARIN LATORRE ARIAS, NELSON OCTAVIO CASAS ATEHORTUA, ANGELA MAYELLIS MELO HIDALGO, TANIA PAOLA ORTIZ GONZALEZ, GUILLERMO GIRALDO VARGAS, ALEJANDRA MARIN BETANCUR",3
00021,004,Otra publicación divulgativa,Epílogo,MEMORIAS PROSPECTA COLOMBIA - Relación entre la capacidad de absorción y el desempeño innovador: estudio multicaso en un grupo de empresas vinculadas al centro de investigación y desarrollo tecnológico del sector eléctrico ¿ cidet,Colombia,2017,"NELSON MARIN LATORRE ARIAS, NELSON OCTAVIO CASAS ATEHORTUA, ANGELA MAYELLIS MELO HIDALGO, TANIA PAOLA ORTIZ GONZALEZ, ELKIN ORLANDO VELEZ SANCHEZ, GUILLERMO GIRALDO VARGAS",3
00022,004,Otra publicación divulgativa,Otra,MEMORIAS PROSPECTA COLOMBIA - Desafíos del estudiante de administración de empresas de la UNAD frente al emprendimiento. Visión 2025.,Colombia,2017,"NELSON MARIN LATORRE ARIAS, NELSON OCTAVIO CASAS ATEHORTUA, ANGELA MAYELLIS MELO HIDALGO, ELKIN ORLANDO VELEZ SANCHEZ, GUILLERMO GIRALDO VARGAS, ALEJANDRA MARIN BETANCUR",3
00023,004,Otra publicación divulgativa,Otra,Periódico el indicador  -  Alianzas Globales salvan Líneas Navieras,Colombia,2017,ROSA JANNET RESTEPO RESTREPO,3
00024,004,Otra publicación divulgativa,Otra,MEMORIAS XIX ENCUENTRO NACIONAL DE INVESTIGACIÓN,Colombia,2016,"MARTHA DEL SOCORRO ALZATE CARDENAS, OLGA LUCIA ARBOLEDA ALVAREZ, OSWALDO ANTONIO SALGADO CANAVERAL",3
00025,004,Otra publicación divulgativa,Otra,"Legislación cooperativa colombiana, vigencia y constitucionalidad",Colombia,2005,HERNANDO EMILIO ZABALA SALAZAR,3
00026,004,Otra publicación divulgativa,Otra,"Fundamentación teórica, metodológica y operativa de la línea de investigación en organizaciones",Colombia,2004,"OLGA LUCIA ARBOLEDA ALVAREZ, CLARA INES ORREGO CORREA, YOMAR JAVIER SANCHEZ CAICEDO",3
00027,004,Otra publicación divulgativa,Otra,Objetos de conocimiento,Colombia,2002,"OLGA LUCIA ARBOLEDA ALVAREZ, LUZ DOLLY LOPERA GARCIA",3
00028,004,Otra publicación divulgativa,Otra,Fundamentos para la construcción de la economía solidaria: lo incluyente en el contexto de la globalización,Colombia,2002,"OLGA LUCIA ARBOLEDA ALVAREZ, LUZ DOLLY LOPERA GARCIA, CLARA INES ORREGO CORREA",3
00029,004,Otra publicación divulgativa,Otra,Aproximaciones al concepto de línea de investigación y campos del saber: Una convocatoria para pensar la investigación en la Funlam,Colombia,2002,"OLGA LUCIA ARBOLEDA ALVAREZ, SANTIAGO ALBERTO MORALES, PATRICIA ELENA RAMIREZ ARBOLEDA, CARLOS SANDOVAL C",3
00030,005,Otra publicación divulgativa,Otra,Ciencia y Academia: un nuevo contexto para el diálogo de saberes,Colombia,2020,JUAN DIEGO BETANCUR ARIAS,3
00031,005,Otra publicación divulgativa,Otra,Alimentación y química cerebral: un análisis relacional,Colombia,2018,"VICTOR DANIEL GIL VERA, JUAN DIEGO BETANCUR ARIAS",3
00032,005,Otra publicación divulgativa,Prólogo,"Feminicidio. Poder, desigualdad, subordinación e impunidad: no más invisibilidad",Colombia,2017,"JUAN DIEGO BETANCUR ARIAS, RODRIGO ORLANDO OSORIO MONTOYA",3
00033,005,Otra publicación divulgativa,Otra,Quan allò moral és emocional: aproximació dimensional a la naturalesa afectiva dels dilemes morals.,Colombia,2016,JULIO ANTONIO OLIVERA LA ROSA,3
00034,005,Otra publicación divulgativa,Prólogo,Deconstruyendo la mente moral: Cuando la evidencia habla.,Colombia,2014,JULIO ANTONIO OLIVERA LA ROSA,3
00035,006,Otra publicación divulgativa,Otra,Encuentro de Experiencias Exitosas de Aula Transformando la educación: Relatos inspiradores de docentes universitarios,Colombia,2024,SANDRA MILENA BOTERO BEDOYA,3
00036,006,Otra publicación divulgativa,Epílogo,Graduation Paper Manual. Guidelines for Research Monograph (6th ed.),Colombia,2023,"JOSE VICENTE ABAD OLAYA, EDISON FERNEY CASTRILLON ANGEL",3
00037,006,Otra publicación divulgativa,Otra,Maestría en Neuropsicopedagogía,Colombia,2015,SANDRA JULIET CLAVIJO ZAPATA,3
00038,006,Otra publicación divulgativa,Otra,Factores y Estrategias que inciden en la Preparación para la Evaluación en inglés en la Funlam,Colombia,2014,MARTHA ISABEL MEDINA,3
00039,006,Otra publicación divulgativa,Otra,El afecto en el mejoramiento del aprendizaje. Capítulo de memoria,Colombia,2014,SONIA RUTH QUINTERO ARRUBLA,3
00040,006,Otra publicación divulgativa,Otra,Propuesta Didáctica con Base en el Juego y la Expresión Artística,Colombia,2014,MARIA FERNANDA ARBOLEDA POSADA,3
00041,006,Otra publicación divulgativa,Otra,Especialización En Neuropsicopedagogía Infantil Registro Calificado - Código SNIES 101820,Colombia,2012,SANDRA JULIET CLAVIJO ZAPATA,3
