id,id_grupo,categoria,tipo_producto,titulo,pais,revista,ano,autores,tipologia
00001,001,Otros artículos publicados,Revista de divulgación,Control y mitigación de ácaros en especies de flores ornamentales en Colombia,Colombia,CIENCIA Y ACADEMIA,2026,"SERGIO BONILLA MENDIETA, LUIS FERNANDO CARDONA PALACIO",1
00002,001,Otros artículos publicados,Revista de divulgación,Functional Prototype of Biometric Fingerprint Recognition Software for Airlines,Colombia,Cuaderno Activa,2025,"VICTOR DANIEL GIL VERA, JEAN CARLOS LOPEZ TAVERA",1
00003,001,Otros artículos publicados,Revista de divulgación,La evolución de la visualización de datos: Campos de aplicación y herramientas de Business Intelligence,Colombia,REVISTA INTERFACES,2024,"ANDRES MAURICIO GRISALES AGUIRRE, LEIDY MARIAN ESPINOSA VILLA, PAOLA MARCELA ALZATE MONTOYA",1
00004,001,Otros artículos publicados,Revista de divulgación,Análisis de Sentimientos Sobre la Educación Remota en Tiempos de Pandemia: Latinoamérica,Colombia,Palobra,2024,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA, KAREN ANGEL GOMEZ, JULIANA VALENCIA OCHOA, YESENIA RESTREPO CAMARGO, YENNI RIVERA MONTOYA, ALEJANDRA HERRERA VELEZ",1
00005,001,Otros artículos publicados,Revista de divulgación,ENSEÑANZA DEL MACHINE LEARNING EN PROGRAMAS DE INGENIERÍA,Colombia,Revista Sai / Sociedad Antioqueña De Ingenieros Y Arquitectos,2023,VICTOR DANIEL GIL VERA,1
00006,001,Otros artículos publicados,Revista de divulgación,Machine Learning Applied to Viscosity Prediction: A Case Study,Grecia,WSEAS TRANSACTIONS ON COMPUTERS,2023,VICTOR DANIEL GIL VERA,1
00007,001,Otros artículos publicados,Revista de divulgación,Aprovechamiento energético del lavado industrial de la empresa Relianz CAT,Colombia,CIENCIA Y ACADEMIA,2023,"LUIS FERNANDO CARDONA PALACIO, VICTOR ORLANDO MARTINEZ MONSALVE",1
00008,001,Otros artículos publicados,Revista de divulgación,Using Machine Learning to Predict the Death Risk in COVID-19 Patients,Bulgaria,International Journal of Biology and Biomedicine,2022,VICTOR DANIEL GIL VERA,1
00009,001,Otros artículos publicados,Periódico de noticias,Objetos Virtuales de Aprendizaje: Un Análisis de Sentimientos,Colombia,Innovación Digital y Desarrollo Sostenible,2022,"VICTOR DANIEL GIL VERA, ALLISON RAMIREZ BERMUDEZ",1
00010,001,Otros artículos publicados,Revista de divulgación,Modelamiento matemático para correlacionar la viscosidad dinámica de refrigerantes utilizando la teoría de reacción absoluta de Eyring,Colombia,INVENTUM,2022,"LUIS FERNANDO CARDONA PALACIO, VIVIANA GOMEZ CEBALLOS",1
00011,001,Otros artículos publicados,Periódico de noticias,Covid -19 como estudio de la pobreza de América Latina en el 2021,Colombia,Revista De Economía Del Caribe,2021,"ANDRES MAURICIO GRISALES AGUIRRE, PAOLA MARCELA ALZATE MONTOYA, KARLA BEATRIZ JULIO MORENO",1
00012,001,Otros artículos publicados,Revista de divulgación,Predicting the melting temperature and the heat of melting of ionic liquids,Estados Unidos,JOURNAL OF IONIC LIQUIDS,2021,"JOSE O VALDERRAMA, LUIS FERNANDO CARDONA PALACIO",1
00013,001,Otros artículos publicados,Revista de divulgación,Modelo generalizado para representar la viscosidad dinámica de mezclas binarias de fluidos Newtonianos de n-alcanos utilizando el concepto de solución regular,Colombia,RIDING,2021,LUIS FERNANDO CARDONA PALACIO,1
00014,001,Otros artículos publicados,Revista de divulgación,Competencias en networking: perspectivas desde una revisión literaria,Colombia,REVISTA INTERFACES,2021,"ANDRES MAURICIO GRISALES AGUIRRE, DAHIANA RAMIREZ CARVAJAL, ADRIAN TORO CARDONA, MARTIN EUGENIO CARVAJAL HENAO",1
00015,001,Otros artículos publicados,Revista de divulgación,Creación de pacientes internacionales automatizado con AUTOIT: Un caso de aplicación,Colombia,REVISTA DIGITAL LAMPSAKOS,2020,LINA MARIA MONTOYA SUAREZ,1
00016,001,Otros artículos publicados,Revista de divulgación,Enfoque multidimensional para el estudio de la pobreza: perspectivas desde una revisión sistemática de literatura multidimensional,Colombia,"INNOVA ""ITFIP""",2020,ANDRES MAURICIO GRISALES AGUIRRE,1
00017,001,Otros artículos publicados,Revista de divulgación,Reporte de caso: análisis de propiedades geotécnicas de un suelo en Copacabana-Antioquia contaminado con jabón,Colombia,MEMORIAS CIMTED,2019,MARIA JULIA NIETO CALLEJAS,1
00018,001,Otros artículos publicados,Revista de divulgación,Balance of Trade and the Dollar Price: A Relational Analysis of the Colombian Case,Pakistán,MIDDLE EAST JOURNAL OF SCIENTIFIC RESEARCH,2019,"VICTOR DANIEL GIL VERA, CATALINA QUINTERO LOPEZ, JAVIER SEBASTIAN RUIZ SANTACRUZ",1
00019,001,Otros artículos publicados,Periódico de noticias,Enseñanza del concepto de derivada con Geogebra: una guía didáctica desde el aula de clase,España,Revista Internacional de Aprendizaje en Ciencia,2386,VICTOR DANIEL GIL VERA,1
00020,001,Otros artículos publicados,Revista de divulgación,Robótica educativa como estrategia pedagógica para construcción y aprehensión de conceptos de ciencias básicas e ingeniería,Colombia,ACOFI,2019,"INGRID DURLEY TORRES PARDO, FRANKLIN FERRARO GOMEZ, JUAN CAMILO GIRALDO CESPEDES, JAIME ALBERTO GUZMAN LUNA",1
00021,001,Otros artículos publicados,Revista de divulgación,Obtención de pigmentos inorgánicos por síntesis de combustión para la industria de pinturas,Colombia,Encuentro Nacional De Investigación Memorias,2019,EDGAR ANDRES CHAVARRIAGA MIRANDA,1
00022,001,Otros artículos publicados,Revista de divulgación,Aceptación del Mlearning: Un Análisis de Sentimientos basado en Minería de Texto,Colombia,CUADERNO ACTIVA,2019,VICTOR DANIEL GIL VERA,1
00023,001,Otros artículos publicados,Revista de divulgación,OBJETOS VIRTUALES DE APRENDIZAJE EN LA ENSEÑANZA DE LA FÍSICA Un Caso de Aplicación,España,Revista Internacional de Aprendizaje en Ciencia,2386,VICTOR DANIEL GIL VERA,1
00024,001,Otros artículos publicados,Revista de divulgación,Memoria TELEDU 2018 -El uso de las TIC en la Universidad Católica Luis Amigó para la enseñanza ¿ aprendizaje,Chile,MEMORIAS CIMTED,2018,LINA MARIA MONTOYA SUAREZ,1
00025,001,Otros artículos publicados,Revista de divulgación,"Memoria III Simposio - Uso de las metodologías ágiles de desarrollo, un análisis de las Pymes Medellín, Colombia",Colombia,Memorias II Simposio de Investigación Uniremington 2016 - Medellín,2018,"LINA MARIA MONTOYA SUAREZ, JORGE MAURICIO SEPULVEDA CASTANO",1
00026,001,Otros artículos publicados,Revista de divulgación,"Memoria CITICI 2018 - Xanthomona, limpieza orgánica de aguas residuales",Argentina,MEMORIAS CIMTED,2018,LINA MARIA MONTOYA SUAREZ,1
00027,001,Otros artículos publicados,Revista de divulgación,Sentiment Analysis on Post conflict in Colombia: A Text Mining Approach,Pakistán,ASIAN JOURNAL OF APPLIED SCIENCES,2018,"VICTOR DANIEL GIL VERA, LINA MARIA MONTOYA SUAREZ, ISABEL CRISTINA PUERTA LOPERA",1
00028,001,Otros artículos publicados,Revista de divulgación,Artificial Neural Networks Applied to the Monitoring of Cost and Durations in Juvenile Reformatories,Pakistán,ASIAN JOURNAL OF APPLIED SCIENCES,2018,"VICTOR DANIEL GIL VERA, ISABEL CRISTINA PUERTA LOPERA, LINA MARIA MONTOYA SUAREZ, JORGE MAURICIO SEPULVEDA CASTANO",1
00029,001,Otros artículos publicados,Revista de divulgación,"Memorias TELEDU 2017 - Metodologías ágiles de desarrollo, uso y beneficio",Colombia,MEMORIAS CIMTED,2017,"LINA MARIA MONTOYA SUAREZ, JORGE MAURICIO SEPULVEDA CASTANO, BAYRON ANDRES SALDARRIAGA ZULUAGA",1
00030,001,Otros artículos publicados,Revista de divulgación,"Memorias CIFCOM 2017 - El uso de las metodologías ágiles de desarrollo, un análisis de las Pymes en Medellín - Colombia",Colombia,MEMORIAS CIMTED,2017,"LINA MARIA MONTOYA SUAREZ, JORGE MAURICIO SEPULVEDA CASTANO",1
00031,001,Otros artículos publicados,Revista de divulgación,Learning Analytics and Scholar Dropout: A Predictive Model,Pakistán,MIDDLE EAST JOURNAL OF SCIENTIFIC RESEARCH,2017,VICTOR DANIEL GIL VERA,1
00032,001,Otros artículos publicados,Revista de divulgación,Prototipo de realidad aumentada orientado al ámbito Educativo,Colombia,Journal Of Engineering And Technology,2256,"EVELYN AGUIRRE MOLINA, LINA MARIA MONTOYA SUAREZ",1
00033,001,Otros artículos publicados,Revista de divulgación,Memorias CIFCOM 2016 - Análisis comparativo de las metodologías ágiles en el desarrollo de software aplicadas en Colombia,Colombia,MEMORIAS CIMTED,2016,"LINA MARIA MONTOYA SUAREZ, JORGE MAURICIO SEPULVEDA CASTANO, LUISA MARIA JIMENEZ RAMOS",1
00034,001,Otros artículos publicados,Revista de divulgación,"Memorias II Simposio - Revisión sistemática de métodos de programación ágil en Medellín, Colombia",Colombia,Memorias II Simposio de Investigación Uniremington 2016 - Medellín,2016,"LINA MARIA MONTOYA SUAREZ, JORGE MAURICIO SEPULVEDA CASTANO, LUISA MARIA JIMENEZ RAMOS",1
00035,001,Otros artículos publicados,Revista de divulgación,Sistema tutorial de aprendizaje y nivelación para aspirantes a PMP,Colombia,REVISTA PERSPECTIVA EMPRESARIAL,2016,VICTOR DANIEL GIL VERA,1
00036,001,Otros artículos publicados,Revista de divulgación,Medicamentos como contaminates de las Aguas. Estudio Teórico Experimental,Colombia,Encuentro Nacional De Investigación Memorias,2016,FRANKLIN FERRARO GOMEZ,1
00037,001,Otros artículos publicados,Revista de divulgación,La química en el mundo de hoy,Colombia,Encuentro Nacional De Investigación Memorias,2016,EDISON HUMBERTO OSORIO LOPEZ,1
00038,001,Otros artículos publicados,Revista de divulgación,Efectos de la Ferrorresonancia en la Energización de Transformadores,Colombia,Revista Cintex,2015,GABRIEL JAIME CORREA HENAO,1
00039,001,Otros artículos publicados,Revista de divulgación,Multi-objective Optimization Proposal with Fuzzy Coefficients in both Constraints and Objective Functions,Colombia,CUADERNO ACTIVA,2015,"GABRIEL JAIME CORREA HENAO, GLORIA ELENA PENA",1
00040,001,Otros artículos publicados,Revista de divulgación,Degradación del colorante índigo carmín: estudio teórico experimental,Colombia,Encuentro Nacional De Investigación Memorias,2015,FRANKLIN FERRARO GOMEZ,1
00041,001,Otros artículos publicados,Revista de divulgación,"Estrategia para generar, teóricamente, cúmulos atómicos que puedan almacenar hidrógeno",Colombia,Encuentro Nacional De Investigación Memorias,2015,EDISON HUMBERTO OSORIO LOPEZ,1
00042,001,Otros artículos publicados,Revista de divulgación,DESARROLLO DE UNA RED NEURONAL ARTIFICIAL PARA LA IDENTIFICACIÓN DE POSIBLES DEUDORES MOROSOS,Colombia,QUID,2015,VICTOR DANIEL GIL VERA,1
00043,001,Otros artículos publicados,Revista de divulgación,"Reflexiones en torno al Mecanismo de Comercialización en el Mercado Eléctrico Británico, después de la Reforma de 2001",Colombia,QUID,2014,GABRIEL JAIME CORREA HENAO,1
00044,001,Otros artículos publicados,Periódico de noticias,Estrategias didácticas en el aprendizaje para el levantamiento de requisitos,Colombia,Interlocuciones Desde La Funlam / Fundacion Universitaria Luis Amigo,2014,"LINA MARIA MONTOYA SUAREZ, ELIZABETH PULGARIN MEJIA, JUAN CARLOS MONSALVE GOMEZ",1
00045,001,Otros artículos publicados,Revista de divulgación,Aplicación de un caso de estudio para la enseñanza de ingeniería de requisitos basado en lúdica en pregrado,Colombia,Universidad Crítica / Universidad Francisco De Paula Santander,2014,"LINA MARIA MONTOYA SUAREZ, JUAN CARLOS MONSALVE GOMEZ, JORGE GAVIRIA HINCAPIE",1
00046,001,Otros artículos publicados,Revista de divulgación,Estudio computacional para la interacción molecular entre el clúster de oro más estable Au7 y la molécula de acetileno C2H2,Colombia,Encuentro Nacional De Investigación Memorias,2014,FRANKLIN FERRARO GOMEZ,1
00047,001,Otros artículos publicados,Revista de divulgación,Enlace químico en compuestos orgánicos cíclicos tipo propalenos,Colombia,Encuentro Nacional De Investigación Memorias,2014,EDISON HUMBERTO OSORIO LOPEZ,1
00048,001,Otros artículos publicados,Revista de divulgación,Diseño y Simulación de un Control para un Aerogenerador Síncrono de Imanes Permanentes,Colombia,QUID,2014,GABRIEL JAIME CORREA HENAO,1
00049,001,Otros artículos publicados,Revista de divulgación,Implementación de Entornos Personales de Aprendizaje -PLE- y con estudiantes universitarios,Colombia,Interlocuciones Desde La Funlam / Fundacion Universitaria Luis Amigo,2014,"JUAN CARLOS MONSALVE GOMEZ, LINA MARIA MONTOYA SUAREZ",1
00050,001,Otros artículos publicados,Revista de divulgación,Development of Large Photovoltaic Solar Energy Projects in South America,Colombia,Journal Of Engineering And Technology,2256,"VICTOR DANIEL GIL VERA, GABRIEL JAIME CORREA HENAO",1
00051,001,Otros artículos publicados,Periódico de noticias,Evaluación de la Vulnerabilidad Estructural en Redes de Transporte de Alta Tensión,Colombia,Revista Cidet,2013,"GABRIEL JAIME CORREA HENAO, JOSE MARIA YUSTA LOYO",1
