id,id_grupo,categoria,tipo_producto,titulo,pais,ano,autores,tipologia
00001,001,Otros Libros publicados,Libro pedagógico y/o de divulgación,Elementos básicos de estadística descriptiva para el análisis de datos,Colombia,2016,GABRIEL JAIME POSADA HERNANDEZ,1
00002,001,Otros Libros publicados,Otro libro publicado,Línea De Investigación En Matemáticas Aplicadas,Colombia,2012,LUIS FERNANDO VARGAS CANO,1
00003,001,Otros Libros publicados,Otro libro publicado,Línea De Investigación En Matemáticas Aplicadas,Colombia,2012,GABRIEL JAIME POSADA HERNANDEZ,1
00004,001,Otros Libros publicados,Otro libro publicado,Línea De Investigación En Matemáticas Aplicadas,Colombia,2012,MAURICIO LOPEZ BONILLA,1
00005,002,Otros Libros publicados,Otro libro publicado,EL CONCEPTO DE CONSTITUCION. UN RECORRIDO HISTÓRICO.,Colombia,2015,JESUS DAVID LONDONO BEDOYA,1
00006,002,Otros Libros publicados,Otro libro publicado,EL PRECEDENTE ADMINISTRATIVO Y SU CONSOLIDACIÓN EN EL DERECHO COLOMBIANO.,Colombia,2015,JESUS DAVID LONDONO BEDOYA,1
00007,003,Otros Libros publicados,,,,,,1
00008,004,Otros Libros publicados,Libro pedagógico y/o de divulgación,Organizaciones de la Sociedad Civil en Caldas,Colombia,2019,"MONICA ANDREA BERNAL HERRERA, EDUARDO LINDARTE MIDDLETON, JAIME EDUARDO GALLEGO GONZALEZ, DORALICE ORTIZ ORTIZ, DIANA MARCELA GOMEZ SANCHEZ, LORENA AGUIRRE ALDANA",1
00009,004,Otros Libros publicados,Otro libro publicado,Costeo de Operaciones Internacionales,Colombia,2019,ROSA JANNET RESTEPO RESTREPO,1
00010,004,Otros Libros publicados,Otro libro publicado,Sistematización del fortalecimiento de organizaciones solidarias creadas en los espacios territoriales de capacitación y reincorporación por parte del SUEJE y la UAEOS,Colombia,2017,HERNANDO EMILIO ZABALA SALAZAR,1
00011,004,Otros Libros publicados,Otro libro publicado,"Cooperativismo, Historia y Doctrina",Colombia,2016,HERNANDO EMILIO ZABALA SALAZAR,1
