id,id_grupo,categoria,tipo_producto,titulo,ano,autores,tipologia
00001,001,Prototipos,Industrial,Diseño e implementación de Cerradura Inteligente para control de acceso con ESP32,2023,"ANDRES FELIPE MAMIAN JIMENEZ, DIOMEDES DE JESUS LOPEZ SUAREZ",2
00002,001,Prototipos,Industrial,Diseño e Implementación de un Sistema de Riego Automático para plantas en el Hogar con ESP32 .,2023,"ANDRES FELIPE MAMIAN JIMENEZ, DIOMEDES DE JESUS LOPEZ SUAREZ",2
00003,001,Prototipos,Servicios,IntervetApp,2023,"INGRID DURLEY TORRES PARDO, JAIME ALBERTO GUZMAN LUNA, CLAUDIA MARCELA ARANA MEDINA, CAMILO GARCIA SALDARRIAGA, JUAN JOSE MAZO ACEVEDO, BRYAN ARIAS QUINCHIA, SNEYDER MARTINEZ CAICEDO",2
00004,001,Prototipos,Servicios,MedicalBLE,2021,"INGRID DURLEY TORRES PARDO, JAIME ALBERTO GUZMAN LUNA, JUAN CAMILO GIRALDO CESPEDES, JUAN PABLO GUTIERREZ LOPEZ",2
00005,002,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Grupo de Estudio Género y Derecho de Familia,2021,,3
00006,002,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"Taller de Política Pública realizado con actores comunitarios de la ciudad de Manizales, en el marco del proyecto ""Expedición Pacífica: Pedagogías de la Memoria y Reconciliación en Escenarios Escolares",2022,,3
00007,002,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Semillero de Investigación Ciber_Sociedad,2022,,3
00008,002,Proceso de Apropiación Social del Conocimiento para la generación de insumos de política pública y normatividad,proceso,"Concepto al proyecto de acuerdo Por medio del cual se crea el programa de reconocimiento, estímulo y potenciación de las capacidades y los talentos de las mujeres de Medellín",2021,,3
00009,002,Proceso de Apropiación Social del Conocimiento para la generación de insumos de política pública y normatividad,proceso,"Seguimiento a la actividad PEIG: difundir las acciones de paz que realizan las mujeres en los territorios, y en el proceso de construcción en implementación de los Acuerdos de la Habana, que permita visibilizar el papel de las mujeres como constructoras de paz",2021,,3
00010,003,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"La familia como factor de riesgo o factor protector, realizada en el municipio de Santa Rosa de Osos, Fase I-2021",2021,,3
00011,003,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"Socialización de factores protectores para la salud mental, en el marco de la prevención del comportamiento suicida. Municipio El Carmen de Viboral, Fase I-2021",2021,,3
00012,003,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,XPOILERS - Festival de StandUp científicos e investigativos.,2022,,3
00013,003,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"Autocuidado del cuidador, prevención del comportamiento suicida, realizada en Santa Rosa de Osos, Fase I-2021",2021,,3
00014,003,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"La Languidez, efectos psicosociales en perspectiva de pospandemia. Municipio El Carmen de Viboral, Fase I-2021",2021,,3
00015,003,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"Mirada psicojuridica del comportamiento suicida y responsabilidades en el marco de la política en salud mental. Municipio del Carmen de Viboral, Fase I-2021",2021,,3
00016,003,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"Hablemos de la vida: La espiritualidad como factor protector del comportamiento suicida?. Municipio de Bello, Fase I-2021",2021,,3
00017,003,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Importancia de redes interinstitucionales de prevención y atención de salud mental. Tarija (Bolivia) Fase I-2021,2021,,3
00018,003,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,"Factores protectores en la familia, Municipio de Santa Rosa de Osos, Fase I-2021",2021,,3
00019,003,"Producción en arte, arquitectura y diseño",Producto,DIMENSIONES ESTRATÉGICAS PARA LA CONSTRUCCIÓN DE UN MODELO DE SALARIO EMOCIONAL DESDE LAS LÓGICAS DE LA GESTIÓN DEL TALENTO HUMANO Y LA GERENCIA HUMANIZADA,2018,,3
00020,003,"Producción en arte, arquitectura y diseño",taller,Clase espejo entre la Universidad Católica Luis Amigó (Colombia) y la Universidad la Salle Noroeste (México),2020,,3
00021,003,"Producción en arte, arquitectura y diseño",taller,Clase espejo entre la Universidad Católica Luis Amigó (Colombia) y la Universidad Politécnica de Guanajuato (México),2020,,3
00022,003,"Producción en arte, arquitectura y diseño",taller,Semana Académica: Emprendimientos Académicos de UNA,2019,,3
00023,004,Publicaciones editoriales no especializadas,Publicación editorial no especializada,IMPACTO DEL SISTEMA TRIBUTARIO COLOMBIANO: UN ANÁLISIS COMPARATIVO DEL RECAUDO Y LAS TRANSFERENCIAS A PARTIR DE LAS ALTERNATIVAS Y LECCIONES APRENDIDAS DE LAS REFORMAS TRIBUTARIAS 2000-2019.,2021,,3
00024,004,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Semillero de Investigación,2020,,3
00025,004,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Semillero de Investigación Negocios Internacionales,2020,,3
00026,004,Procesos de apropiación social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,proceso,Consejo de participación ciudadana y control social de Antioquia CDPCyCS,2020,,3
