id,id_grupo,categoria,titulo,pais,ano,institucion,autores,tipologia
00001,001,Otros productos tecnológicos,,,,,,2
00002,002,Otros productos tecnológicos,,,,,,2
00003,003,Otros productos tecnológicos,,,,,,2
00004,004,Otros productos tecnológicos,Base de datos de información de autores en economía solidaria,Colombia,2004,FUNLAM,"OLGA LUCIA ARBOLEDA ALVAREZ, ALVARO OSORIO TUBERQUIA",2
00005,005,Otros productos tecnológicos,,,,,,2
00006,006,Otros productos tecnológicos,,,,,,2
00007,007,Otros productos tecnológicos,Sistematización del proceso de consolidación de la participación ciudadana en el Departamento de Antioquia,Colombia,2005,"CONCIUDADANIA, Corporación nuevo arco iris, FUNDAUNIBAN, IPC.",LUZ MERY ARIAS MUNOZ,2
00008,007,Otros productos tecnológicos,Base de datos de información de autores en economía solidaria,Colombia,2004,FUNLAM,ALVARO OSORIO TUBERQUIA,2
00009,008,Otros productos tecnológicos,,,,,,2
00010,009,Otros productos tecnológicos,Plataforma Educativa para promover procesos de comprensión lectora,Colombia,2016,UNIVERSIDAD CATOLICA LUIS AMIGO,ARGEMIRO JOSE AMAYA BUELVAS,2
00011,009,Otros productos tecnológicos,Reconstrucción de la Memoria Historia Asociación de Desplazados de VILLA PAZ,Colombia,2008,,MIGUEL EFREN GARCES PRETTEL,2
00012,009,Otros productos tecnológicos,"Reconstrucción de la Memoria Historia Comunidad Eclesial ""Castillo de Oración y Milagros""",Colombia,2007,,MIGUEL EFREN GARCES PRETTEL,2
00013,009,Otros productos tecnológicos,"Reconstrucción de la Memoria Historia Comunidad Eclesial ""Dios es Amor""",Colombia,2007,Iglesia Dios es Amor,MIGUEL EFREN GARCES PRETTEL,2
00014,009,Otros productos tecnológicos,Analisis del Rio Sinú y el Impacto de URRA I,Colombia,2006,UNIVERSIDAD CATOLICA LUIS AMIGO,MIGUEL EFREN GARCES PRETTEL,2
00015,009,Otros productos tecnológicos,Reconstrucción historia de Vida de personas rehabilitadas de las drogas,Colombia,2002,UNIVERSIDAD DE CORDOBA,MIGUEL EFREN GARCES PRETTEL,2
00016,010,Otros productos tecnológicos,,,,,,2
00017,011,Otros productos tecnológicos,,,,,,2
00018,012,Otros productos tecnológicos,Atril graduable y plegable con reposamuñecas,Colombia,2025,UNIVERSIDAD CATOLICA LUIS AMIGO,CARLOS SUAREZ QUICENO,2
00019,012,Otros productos tecnológicos,Estuche modular universal para eReaders y tabletas,Colombia,2016,UNIVERSIDAD CATOLICA LUIS AMIGO,"EDWIN ANDRES SEPULVEDA CARDONA, CARLOS SUAREZ QUICENO",2
00020,012,Otros productos tecnológicos,Estuche modular universal para ereaders y tabletas,Colombia,2016,UNIVERSIDAD CATOLICA LUIS AMIGO,"CARLOS SUAREZ QUICENO, EDWIN ANDRES SEPULVEDA CARDONA",2
00021,013,Otros productos tecnológicos,,,,,,2
00022,014,Otros productos tecnológicos,,,,,,2
