id,id_grupo,categoria,titulo,ano,tipologia
00001,001,Participación Ciudadana en Proyectos de CTI,,,3
00002,002,Participación Ciudadana en Proyectos de CTI,,,3
00003,003,Participación Ciudadana en Proyectos de CTI,,,3
00004,004,Participación Ciudadana en Proyectos de CTI,Perfil logístico de Puerto Antioquia frente a los puertos del Caribe.,                Agosto 2020,3
00005,004,Participación Ciudadana en Proyectos de CTI,Aplicación del modelo de exportación para las Pymes de Antioquia - San Luis de Potosí México- Tercera fase.,                Noviembre 2020,3
00006,004,Participación Ciudadana en Proyectos de CTI,Emprendimiento tecnológico e innovación en las empresas del municipio Celaya: una visión desde Latinoamerica,                Diciembre 2019,3
00007,004,Participación Ciudadana en Proyectos de CTI,"Sector forestal en Colombia, alternativa de paz y desarrollo sostenible. Caso Ecorregión Cafetera",                Diciembre 2018,3
00008,005,Participación Ciudadana en Proyectos de CTI,,,3
00009,006,Participación Ciudadana en Proyectos de CTI,Semillero de socio-didáctica del inglés,                Diciembre 2015,3
00010,007,Participación Ciudadana en Proyectos de CTI,,,3
00011,008,Participación Ciudadana en Proyectos de CTI,Sensibilización y formación para la oportuna comunicación e información sobre casos asociados al comportamiento suicida por medio del protocolo para medios de comunicación. Envigado.,                Septiembre 2020,3
00012,008,Participación Ciudadana en Proyectos de CTI,Sensibilización y formación para la oportuna comunicación e información sobre casos asociados al comportamiento suicida por medio del protocolo para medios de comunicación. Rionegro.,                Mayo 2020,3
00013,008,Participación Ciudadana en Proyectos de CTI,Participación institucional proyecto de investigación Mecanismos de desconexión moral y predictores psicosociales en adolescentes infractores de la ley  penal en Medellín.,                Julio 2020,3
00014,008,Participación Ciudadana en Proyectos de CTI,"Hacía una comprensión integral e integradora del suicidio, en el marco del encuentro mensual de pastores.",                Noviembre 2019,3
00015,008,Participación Ciudadana en Proyectos de CTI,Encuentro por la vida. Prevención del Comportamiento Suicida,                Octubre 2018,3
00016,008,Participación Ciudadana en Proyectos de CTI,"Proyecto Hacía una comprensión integral e integradora del suicidio.  ¿la realidad no vista por unos y padecida por otros¿ La prevención del suicidio"" Programa de formación y capacitación para la prevención del comportamiento suicida",                Noviembre 2018,3
00017,008,Participación Ciudadana en Proyectos de CTI,"Proyecto Hacía una comprensión integral e integradora del suicidio.  ¿la realidad no vista por unos y padecida por otros¿ La prevención del suicidio"" Programa de formación y capacitación para la prevención del comportamiento suicida",                Noviembre 2018,3
00018,008,Participación Ciudadana en Proyectos de CTI,"Proyecto Hacía una comprensión integral e integradora del suicidio.  ¿la realidad no vista por unos y padecida por otros¿ La prevención del suicidio"" Programa de formación y capacitación para la prevención del comportamiento suicida",                Noviembre 2018,3
00019,008,Participación Ciudadana en Proyectos de CTI,Acciones comunitarias que promueven la construcción de sentidos para la transformación política en el territorio. Fasae I,                Noviembre 2018,3
