id,id_grupo,categoria,tipo_producto,titulo,pais,ano,institucion,autores,tipologia
00001,001,Participación en comités de evaluación,Acreditación de programas,Autoevaluación programa de Ingeniería de Sistemas,Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,ANDRES FELIPE MAMIAN JIMENEZ,3
00002,001,Participación en comités de evaluación,Otra,Committee member of The 2021 International Conference on Information Technology & Systems (ICITS'21),Ecuador,2021,Institute Of Electrical And Electronics Engineers-Ieee,INGRID DURLEY TORRES PARDO,3
00003,001,Participación en comités de evaluación,Profesor titular,Torneo Rebotica E-X-Trema - 2015,Colombia,2015,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA MONTOYA SUAREZ,3
00004,001,Participación en comités de evaluación,Profesor titular,Red Colombiana de Semilleros de Investigación XIII - Encuentro Regional de InvestigaciónI,Colombia,2014,,WALTER HUGO ARBOLEDA MAZO,3
00005,001,Participación en comités de evaluación,Evaluación de cursos,VIII Red Colombiana de Semilleros de lnvesligacion - Nodo Antioquia,Colombia,2014,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,LINA MARIA MONTOYA SUAREZ,3
00006,001,Participación en comités de evaluación,Otra,Concurso Nacional de robótica First Lego League Colombia 2014,Colombia,2014,UNIVERSIDAD CATOLICA LUIS AMIGO,WALTER HUGO ARBOLEDA MAZO,3
00007,001,Participación en comités de evaluación,Profesor titular,"Torneo Nacional FLL: First Lego League en: Fundación Global: arte, ciencia y tecnología - 2013",Colombia,2013,,LINA MARIA MONTOYA SUAREZ,3
00008,001,Participación en comités de evaluación,Otra,Editor Revista Lámpsakos,Colombia,2013,,GABRIEL JAIME CORREA HENAO,3
00009,001,Participación en comités de evaluación,Evaluación de cursos,XII Encuentro Regional de semilleros de investigación,Colombia,2013,Fundacion Red Colombiana de Semilleros de Investigacion RedColsi -  Nodo Bucaramanga,LINA MARIA MONTOYA SUAREZ,3
00010,001,Participación en comités de evaluación,Otra,Revista de ingeniería Lampsakos,Colombia,2013,UNIVERSIDAD CATOLICA LUIS AMIGO,LUIS EDUARDO VAHOS HERNANDEZ,3
00011,001,Participación en comités de evaluación,Profesor titular,"Diversos artículos académicos en la revista Lámpsakos de la Facultad de Ingenierías de la Fundación Universitaria Luis Amigó en: Fundación Universitaria ""Luis Amigo""",Colombia,2013,,LINA MARIA MONTOYA SUAREZ,3
00012,001,Participación en comités de evaluación,Evaluación de cursos,Concurso de robótica First Lego League,Colombia,2012,"Fundación Global, arte, ciencia y tecnología",JUAN CARLOS MONSALVE GOMEZ,3
00013,001,Participación en comités de evaluación,Otra,Miembro del Comité de Arbitraje en el Área de Sistemas Computacionales en el Coloquio de Investigación Multidisciplinar CIM2012,México,2012,Instituto Tecnológico de Orizaba,INGRID DURLEY TORRES PARDO,3
00014,001,Participación en comités de evaluación,Concurso docente,"Concurso de Robótica con Sentido Social ""First Lego League",Colombia,2011,CORPORACIÓN PARQUE EXPLORA,INGRID DURLEY TORRES PARDO,3
00015,001,Participación en comités de evaluación,Otra,Miembro del Comité de Arbitraje en el Área de Sistemas Computacionales en el Coloquio de Investigación Multidisciplinar CIM2011,México,2011,Instituto Tecnológico de Orizaba,INGRID DURLEY TORRES PARDO,3
