id,id_grupo,categoria,tipo_producto,titulo,ano,tipologia
00001,001,Producciones de contenido digital - Recursos gráficos,,,,1
00002,002,Producciones de contenido digital - Recursos gráficos,Producción de contenido digital (Recurso gráfico),Datos no tan conocidos sobre la licencia de maternidad,2020,1
00003,002,Producciones de contenido digital - Recursos gráficos,Producción de contenido digital (Recurso gráfico),"¿Sabías que el estado debe procurar que todos los niños, niñas y adolescentes tengan un entorno seguro que garantice sus derechos?",2020,1
00004,002,Producciones de contenido digital - Recursos gráficos,Producción de contenido digital (Recurso gráfico),Tres consejos para divorciarse responsablemente en Colombia,2020,1
00005,003,Producciones de contenido digital - Recursos gráficos,Producción de contenido digital (Recurso gráfico),Blog Estudio de Graduados,2019,1
00006,004,Producciones de contenido digital - Recursos gráficos,,,,1
00007,005,Producciones de contenido digital - Recursos gráficos,,,,1
00008,006,Producciones de contenido digital - Recursos gráficos,,,,1
00009,007,Producciones de contenido digital - Recursos gráficos,,,,1
00010,008,Producciones de contenido digital - Recursos gráficos,,,,1
00011,009,Producciones de contenido digital - Recursos gráficos,,,,1
00012,010,Producciones de contenido digital - Recursos gráficos,,,,1
00013,011,Producciones de contenido digital - Recursos gráficos,,,,1
00014,012,Producciones de contenido digital - Recursos gráficos,,,,1
00015,013,Producciones de contenido digital - Recursos gráficos,,,,1
00016,014,Producciones de contenido digital - Recursos gráficos,,,,1
