id,id_grupo,categoria,tipo_producto,titulo,ano,tipologia
00001,001,Producciones de contenido digital - Audiovisual,,,,1
00002,002,Producciones de contenido digital - Audiovisual,,,,1
00003,003,Producciones de contenido digital - Audiovisual,,,,1
00004,004,Producciones de contenido digital - Audiovisual,,,,1
00005,005,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Material audiovisual en formato de video interactivo para el fortalecimiento de los cursos de investigación formativa en la Institución.Unidad 1,2020,1
00006,005,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Material audiovisual en formato de video interactivo para el fortalecimiento de los cursos de investigación formativa en la Institución. Unidad 4,2020,1
00007,005,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),material audiovisual en formato de video interactivo para el fortalecimiento de los cursos de investigación formativa en la Institución.Unidad 3,2020,1
00008,005,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),material audiovisual en formato de video interactivo para el fortalecimiento de los cursos de investigación formativa en la Institución. UNIDAD 2,2020,1
00009,005,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),"Aplicación y calificación de pruebas Neuropsicológicas, Psicológicas y Pedagógicas en población de 6 a 16 años de edad",2022,1
00010,006,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),"Malas decisiones, nuevas oportunidades",2022,1
00011,006,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),El perdón un paso importante para la reconciliación,2022,1
00012,006,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Documental memoria y reintegración caminar y sanar,2022,1
00013,006,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),"Menos estigmatización, mayor comprensión",2022,1
00014,006,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Entornos productivos y reintegración,2022,1
00015,006,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Educación y reintegración,2022,1
00016,006,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Sueños y reintegración,2022,1
00017,006,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Trabajo y reintegración,2022,1
00018,007,Producciones de contenido digital - Audiovisual,,,,1
00019,008,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Vídeo interactivo para el fortalecimiento de los cursos de investigación en la Universidad Católica Luis Amigó,2020,1
00020,008,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Video interactivo para el fortalecimiento de los cursos de investigación formativa en la Institución,2020,1
00021,009,Producciones de contenido digital - Audiovisual,,,,1
00022,010,Producciones de contenido digital - Audiovisual,,,,1
00023,011,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),CARACTERÍSITCAS DE LA PERSONALIDAD Y HÁBITOS DE ESTUDIO EN ESTUDIANTE DE PSICOLOGÍA EN MODALIDAD DISTANCIA,2023,1
00024,012,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),¿Qué es la propaganda negra? Expertos UPB,2022,1
00025,012,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),¿Qué es la propaganda fucsia? Expertos UPB,2022,1
00026,012,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Invitado como experto para el análisis de Resultados y análisis de votaciones para Congreso y elecciones Presidenciales - Canal Teleantioquia,2022,1
00027,012,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Participación en el programa: Un programa de opinión - Telemedellin,2023,1
00028,012,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),PARLAR un espacio pa´hablar,2024,1
00029,012,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),¿Qué colores tiene la propaganda? Conoce sus usos en el escenario político | Expertos UPB,2022,1
00030,012,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),"IMAGEN de Dios, un concepto que transforma la SEXUALIDAD",2019,1
00031,012,Producciones de contenido digital - Audiovisual,Producción de contenido digital (Audiovisual),Planeación y creación de prototipos digitales para emprendimientos,2021,1
00032,013,Producciones de contenido digital - Audiovisual,,,,1
00033,014,Producciones de contenido digital - Audiovisual,,,,1
