id,id_grupo,categoria,producto,tipologia
00001,001,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00002,002,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00003,003,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00004,004,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00005,005,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00006,006,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00007,007,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00008,008,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00009,009,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00010,010,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00011,011,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00012,012,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00013,013,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
00014,014,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA,No tiene,2
