id,id_grupo,categoria,tipo_producto,titulo,ano,tipologia
00001,001,Proyectos,Investigación y desarrollo,Métodos numéricos como una herramienta útil para la resolución de problemas complejos en la ingeniería.,2024/11,2
00002,001,Proyectos,Investigación y desarrollo,ESTUDIO TEÓRICO DE LAS PROPIEDADES ELECTRÓNICAS Y TERMODINÁMICAS DE LÍQUIDOS IÓNICOS DE IMIDAZOL: UN ENFOQUE COMPUTACIONAL.,Actual,2
00003,001,Proyectos,Investigación y desarrollo,Métodos de partículas aplicados a la simulación y la optimización de problemas en diversas áreas de la ingeniería.,2023/11,2
00004,001,Proyectos,Investigación y desarrollo,Diseño computacional de materiales almacenadores de H2.,2023/12,2
00005,001,Proyectos,Investigación y desarrollo,Modelación de procesos fisicoquímicos utilizando modelos simples y predictivos,2023/11,2
00006,001,Proyectos,Investigación y desarrollo,Análisis experimental de equilibrios de fases en sistemas polares y no polares,2023/11,2
00007,001,Proyectos,Investigación y desarrollo,Optimización de una red logística terrestre para el transporte de cargas empresariales desde la óptica de la programación lineal: Un caso de estudio real intermunicipal en el contexto del COVID-19,2022/11,2
00008,001,Proyectos,Investigación y desarrollo,Generación de ayudas automáticas en cursos de programación a partir de soluciones correctas,2022/10,2
00009,001,Proyectos,Investigación y desarrollo,Diseño de materiales funcionalmente graduados para aplicaciones en ciencias de materiales,2022/10,2
00010,001,Proyectos,Investigación y desarrollo,Optimización de inserción al mundo laboral mediante la teoría de redes,2022/11,2
00011,001,Proyectos,Investigación y desarrollo,Implementación de las redes eléctricas inteligentes en Colombia: un análisis multidimensional,2022/10,2
00012,001,Proyectos,Investigación y desarrollo,Desarrollo de un modelo que permita estimar la capacidad calorífica de líquidos iónicos,2022/10,2
00013,001,Proyectos,Investigación y desarrollo,Machine Learning aplicado a la predicción del desempeño estudiantil en cursos universitarios,2022/10,2
00014,001,Proyectos,Investigación y desarrollo,Estudio computacional de sistemas químicos como posibles sensores de contaminantes metálicos.,2022/12,2
00015,001,Proyectos,Investigación y desarrollo,Analítica de datos aplicada al uso de objetos virtuales de aprendizaje (OVA) en la educación superior,2021/11,2
00016,001,Proyectos,Investigación y desarrollo,IMPACTO GENERADO POR EL COVID 19 EN EL ÁMBITO ECONÓMICO EN ALGUNOS PAÍSES LATINOAMERICANOS: UN ENFOQUE DESDE EL ANÁLISIS ENVOLVENTE DE DATOS,2021/11,2
00017,001,Proyectos,Investigación y desarrollo,Síntesis y Caracterización de materiales inorgánicos con potenciales propiedades físicas para aplicaciones de Ingeniería de Materiales,2021/11,2
00018,001,Proyectos,Investigación y desarrollo,Construcción de un modelo para predecir el riesgo de infección con COVID 19,2021/11,2
00019,001,Proyectos,Investigación y desarrollo,Un dispositivo de alerta móvil para la toma de parámetros corporales con fines de identificar riesgo de contagio de COVID-19,2021/11,2
00020,001,Proyectos,Investigación y desarrollo,TECNOLOGIA SOCIAL APLICADA A LAS CIENCIAS DE LA VIDA Y MATERIALES,2021/4,2
00021,001,Proyectos,Investigación y desarrollo,Desarrollo de un modelo de ecuaciones estructurales para el análisis de la aceptación de plataformas educativas virtuales,2020/11,2
00022,001,Proyectos,Investigación y desarrollo,FABRICACIÓN DE ADSORBENTES MAGNÉTICOS POR SÍNTESIS DE COMBUSTIÓN EN SOLUCIÓN COMO POTENCIALES CANDIDATOS EN LA REMOCIÓN DE CONTAMINANTES DEL AGUA,2020/11,2
00023,001,Proyectos,Investigación y desarrollo,Desarrollo de una red neuronal artificial en la educación superior,2020/11,2
00024,001,Proyectos,Investigación y desarrollo,VALIDACIÓN DE LA DESCRIPCIÓN DE UN MODELO MATEMÁTICO PARA LA ENFERMEDAD DE CHAGAS,2020/11,2
00025,001,Proyectos,Investigación y desarrollo,Anodizado de aluminio para sensores ópticos II,2020/11,2
00026,001,Proyectos,Investigación y desarrollo,Un sistema piloto de visualización gráfica de reportes  investigación para la Universidad Católica Luis Amigó,2021/8,2
00027,001,Proyectos,Investigación y desarrollo,Ciencia de Datos Aplicada a la Industria 4.0. Estudio de casos en la provincia de Rio Negro (Argentina) y la ciudad de Medellín (Colombia).,2020/11,2
00028,001,Proyectos,Investigación y desarrollo,Aprendizaje basado en proyectos mediados por TIC y su incidencia en el desarrollo de competencias matemáticas en estudiantes de educación media del municipio de Chigorodó.,2020/11,2
00029,001,Proyectos,Investigación y desarrollo,Analítica de datos aplicada al uso de las TIC en Colombia,2020/11,2
00030,001,Proyectos,Investigación y desarrollo,Micro-Solvatación de Halogenuros de alquilo: Estudio computacional de los efectos del solvente sobre los mecanismos de sustitución nucleofílica.,2022/12,2
00031,001,Proyectos,"Investigación, desarrollo e innovación",Nanotecnología aplicada a ciencias de la vida y materiales,2020/4,2
00032,001,Proyectos,Investigación y desarrollo,Gamificación como estrategia didáctica.  Caso: Aprendizaje de la Lógica de Programación en un ambiente gamificado,Actual,2
00033,001,Proyectos,Investigación y desarrollo,Anodizado de Aluminio para Aplicación en Sensores Ópticos,2019/11,2
