id,id_grupo,categoria,titulo,tipo_producto,ano,tipologia
00001,001,Redes de Conocimiento Especializado,RedCLARA,Real,,3
00002,001,Redes de Conocimiento Especializado,Red Latinoamericana en Ingeniería de Software (RedLatinaIS),Real,,3
00003,001,Redes de Conocimiento Especializado,"Red Nacional Académica de Tecnología Avanzada, RENATA",Real,,3
00004,001,Redes de Conocimiento Especializado,Red RUANA,Real,,3
00005,001,Redes de Conocimiento Especializado,RedCOLSI,Real,,3
00006,002,Redes de Conocimiento Especializado,Observatoire sur les administrations publiques autochtones (OAPA),Real,,3
00007,002,Redes de Conocimiento Especializado,Red para el Estudio del Proceso y la Justicia,Real,,3
00008,002,Redes de Conocimiento Especializado,RED de Derecho América Latina y el Caribe - REDALC,Real,,3
00009,002,Redes de Conocimiento Especializado,Comunidad IAD,Virtual,,3
00010,002,Redes de Conocimiento Especializado,Red de Grupos y Centros de Investigación Jurídica y Sociojurídica - Nodo Antioquia,Real,,3
00011,002,Redes de Conocimiento Especializado,Red Interinstitucional de Derecho procesal y Justicia,Real,,3
00012,002,Redes de Conocimiento Especializado,Nodo Eje Cafetero de Investigación Jurídica y Sociojurídica,Real,,3
00013,002,Redes de Conocimiento Especializado,"Red para el acceso a la información, participación y justicia en asuntos ambientales",Real,2019-05-06,3
00014,002,Redes de Conocimiento Especializado,RED DE GRUPOS Y CENTROS DE INVESTIGACIÓN JURÍDICA Y SOCIOJURÍDICA,Real,,3
00015,002,Redes de Conocimiento Especializado,ALACIP,Real,,3
00016,002,Redes de Conocimiento Especializado,RED SOCIOJURIDICA DEL EJE CAFETERO,Real,,3
00017,002,Redes de Conocimiento Especializado,ALFA-REDI: red internacional de abogado en derecho informático,Real,,3
00018,003,Redes de Conocimiento Especializado,Red Amigoniana de Innovación Social (RAIS),Real,,3
00019,003,Redes de Conocimiento Especializado,Latin American Social Innovation Network (LASIN),Virtual,,3
00020,003,Redes de Conocimiento Especializado,red AIM Asociación Iberoamericana de Marketing,Real,,3
00021,003,Redes de Conocimiento Especializado,Asociación Iberoamericana de Marketing,Real,,3
00022,003,Redes de Conocimiento Especializado,"Asociación para la Formación, Investigación y Desarrollo del Emprendimiento - AFIDE",Virtual,,3
00023,003,Redes de Conocimiento Especializado,red acadmeica en Fiananzas - REDAFIN,Real,,3
00024,003,Redes de Conocimiento Especializado,CLADEA,Real,,3
00025,003,Redes de Conocimiento Especializado,ACACIA,Real,,3
00026,003,Redes de Conocimiento Especializado,"Red en Filosofía, Teoría y Educación en Administración",Real,,3
00027,004,Redes de Conocimiento Especializado,Alianza de Investigadores Internacionales S.A.S ALININ,Real,,3
00028,004,Redes de Conocimiento Especializado,"CIRIEC - Centre International de Recherches el d´Ínformation sur l`economie publique, sociale et cooperative",Real,,3
00029,004,Redes de Conocimiento Especializado,UNICOSOL  Nodo Antioquia,Real,,3
00030,004,Redes de Conocimiento Especializado,Red de Investigadores Latinoamericanos de Economía Social y Solidaria,Real,,3
00031,004,Redes de Conocimiento Especializado,ISTR - The International Society for Third-Sector Research,Real,,3
00032,004,Redes de Conocimiento Especializado,Unicosol Nacional,Real,,3
00033,005,Redes de Conocimiento Especializado,ITALIAN ASSOCIATION FOR COGNITIVE SCIENCES (AISC),Real,,3
00034,005,Redes de Conocimiento Especializado,"Comisión 1: Docencia e Investigación, ante la Organización de Universidades Católicas de América Latina y El Caribe ODUCAL",Virtual,,3
00035,005,Redes de Conocimiento Especializado,Grupo de Investigación Sinergia Prosocial - GISProsoc,Real,,3
00036,005,Redes de Conocimiento Especializado,Grupo internacional de Metacognición,Virtual,,3
00037,005,Redes de Conocimiento Especializado,Social Science & Humanities Research Association (SSHRA),Real,,3
00038,005,Redes de Conocimiento Especializado,"Alianza de Investigadores Internacionales, S.A.S (ALININ)",Real,,3
00039,005,Redes de Conocimiento Especializado,Centro de investigaciones Provincia San José,Real,,3
00040,006,Redes de Conocimiento Especializado,ASOCIACIÓN COLOMBIANA DE PROFESORES DE INGLÉS,Real,,3
00041,006,Redes de Conocimiento Especializado,LA SOCIEDAD DE DOCTORES E INVESTIGADORES DE COLOMBIA - SoPhIC,Virtual,,3
00042,006,Redes de Conocimiento Especializado,Red de investigación escolar,Real,,3
00043,006,Redes de Conocimiento Especializado,The Freire Project,Real,,3
00044,006,Redes de Conocimiento Especializado,Apuestas por una Educación de calidad,Real,,3
00045,007,Redes de Conocimiento Especializado,Red estudios de Familias REFMUR,Virtual,,3
00046,008,Redes de Conocimiento Especializado,Instituto Pensamiento y Cultura en America Latina,Real,,3
00047,008,Redes de Conocimiento Especializado,Red Latinoamericana de Metodología de las Ciencias Sociales,Real,,3
00048,008,Redes de Conocimiento Especializado,Red de Directores y evaluadores de Tesis de Doctorado. Universidad de Córdoba Argentina,Virtual,,3
00049,008,Redes de Conocimiento Especializado,Red-CAEL. Red del Centro de Investigaciones de Altos Estudios Legislativos-CAEL,Real,,3
00050,008,Redes de Conocimiento Especializado,LATINOAMERICANA. Asociación de revistas académicas de humanidades y ciencias sociales,Virtual,,3
00051,008,Redes de Conocimiento Especializado,ResearcH,Real,,3
00052,008,Redes de Conocimiento Especializado,Expedición Psicosocial Colombiana,Real,,3
00053,008,Redes de Conocimiento Especializado,Red Colombiana de Psicología Comunitaria,Real,,3
00054,008,Redes de Conocimiento Especializado,Red Colombiana de Historia de la Salud Mental,Real,,3
00055,008,Redes de Conocimiento Especializado,Red Iberoamericana de Historia de la Psiquiatría,Real,,3
00056,008,Redes de Conocimiento Especializado,Red de Etnopsiquiatría y Estudios Sociales y Culturales de Salud - Enfermedad,Real,,3
00057,008,Redes de Conocimiento Especializado,REDIB. Red Iberoamericana de Innovación y Conocimiento Científico,Virtual,,3
00058,008,Redes de Conocimiento Especializado,Asociación latinoamericana para la Enseñanza y la Formación de la Psicología,Real,,3
00059,009,Redes de Conocimiento Especializado,Red de Docentes de America Latina y del Caribe RedDOLAC,Real,,3
00060,009,Redes de Conocimiento Especializado,RedColsi Red Colombiana de Semilleros de Investigación,Real,,3
00061,009,Redes de Conocimiento Especializado,REOALCeI,Real,,3
00062,009,Redes de Conocimiento Especializado,RED DE DOCENTES DE AMERICA LATINA Y DEL CARIBE,Real,,3
00063,009,Redes de Conocimiento Especializado,red ibero americana de pedagogia.,Virtual,,3
00064,009,Redes de Conocimiento Especializado,red ibero americana de pedagogia.,Virtual,,3
00065,010,Redes de Conocimiento Especializado,Evaluación y promoción de habilidades para la vida,Real,,3
00066,010,Redes de Conocimiento Especializado,Red Colombiana de Investigación en Entornos Virtuales y a Distancia (RECIEVAD),Real,,3
00067,010,Redes de Conocimiento Especializado,Red de  Practicas de Psicologia,Real,,3
00068,010,Redes de Conocimiento Especializado,Red Internacional de Educadores Amigonianos,Virtual,,3
