id,id_grupo,categoria,titulo,pais,ano,institucion,autores,tipologia
00001,001,Reglamentos técnicos,,,,,,2
00002,002,Reglamentos técnicos,Lineamientos Trabajo de Grado Programa de Derecho 2024,Colombia,2024,UNIVERSIDAD CATOLICA LUIS AMIGO,ELVIGIA CARDONA ZULETA,2
00003,002,Reglamentos técnicos,"Modelo para la promoción de derechos, prevención, detección, atención, sanción y seguimiento a situaciones de violencias basadas en género (VBG) en la Universidad Católica Luis Amigó",Colombia,2023,UNIVERSIDAD CATOLICA LUIS AMIGO,"ELVIGIA CARDONA ZULETA, MAGDA VICTORIA DIAZ ALZATE, NATALIA BAENA ROBLEDO, NICOLASA MARIA DURAN PALACIO",2
00004,002,Reglamentos técnicos,Resolución 03 de 14 de febrero de 2020 por medio de la cual se aprueban los Lineamientos de Trabajos de Grado del Programa de Derecho de la Facultad de Derecho y Ciencias Políticas de la Universidad Católica Luis Amigó,Colombia,2020,UNIVERSIDAD CATOLICA LUIS AMIGO,"ELVIGIA CARDONA ZULETA, JORGE EDUARDO VASQUEZ SANTAMARIA, JUAN ESTEBAN AGUIRRE ESPINOSA",2
00005,003,Reglamentos técnicos,,,,,,2
00006,004,Reglamentos técnicos,,,,,,2
00007,005,Reglamentos técnicos,,,,,,2
00008,006,Reglamentos técnicos,,,,,,2
00009,007,Reglamentos técnicos,Reglamento Docente,Colombia,2013,,"ALEXANDER RODRIGUEZ BUSTAMANTE, CONSEJO SUPERIOR FUNDACION UNIVERSITARIA LUIS AMIGO 2013",2
00010,007,Reglamentos técnicos,Reglamento Estudiantil,Colombia,2013,,"ALEXANDER RODRIGUEZ BUSTAMANTE, CONSEJO SUPERIOR FUNDACION UNIVERSITARIA LUIS AMIGO 2013",2
00011,008,Reglamentos técnicos,,,,,,2
00012,009,Reglamentos técnicos,,,,,,2
00013,010,Reglamentos técnicos,,,,,,2
00014,011,Reglamentos técnicos,,,,,,2
00015,012,Reglamentos técnicos,,,,,,2
00016,013,Reglamentos técnicos,,,,,,2
00017,014,Reglamentos técnicos,,,,,,2
