id,id_grupo,categoria,tipo_producto,titulo,pais,ano,institucion,autores,tipologia
00001,001,Regulaciones y Normas,Básica,Norma Sectorial de Competencia Laboral (NSCL) 280401035: Plantear la intervención de sistemas de instrumentación y control según protocolo de mantenimiento preventivo,Colombia,Diciembre-2019,Servicio Nacional de Aprendizaje Sena Sede Cali,JORGE ANDRES COCK RAMIREZ,2
00002,001,Regulaciones y Normas,Básica,Norma Sectorial de Competencia Laboral (NSCL) 280401034: Automatizar el dispositivo de acuerdo con estándares técnicos y herramienta informática,Colombia,Diciembre-2019,Servicio Nacional de Aprendizaje Sena Sede Cali,JORGE ANDRES COCK RAMIREZ,2
00003,002,Regulaciones y Normas,Educativa,Modificación Estructura Orgánica de la Universidad Catolica Luis Amigó. Acuerdo Superior 05 del 19 de septiembre de 2023. Expedido por el Consejo Superior de la Institución.,Colombia,Septiembre-2023,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00004,002,Regulaciones y Normas,Educativa,"¿	Acuerdo Superior 06 del 19 de septiembre de 2023, que reglamenta preparatorios para los programas de derecho ofertados por la Universidad Católica Luis Amigó. Expedido por el Consejo Superior de la Institución.",Colombia,Septiembre-2023,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00005,002,Regulaciones y Normas,Educativa,"Reglamento del Consultorio Jurídico	Resolución No. 41 de 2023, Consejo de Facultad de la Facultad De Derecho y Ciencias Políticas",Colombia,Julio-2023,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00006,002,Regulaciones y Normas,Educativa,"Reglamento del Centro de Conciliación	Resolución No. 40 de 2023, Consejo de Facultad de la Facultad De Derecho y Ciencias Políticas",Colombia,Julio-2023,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00007,002,Regulaciones y Normas,Ambiental o de Salud,Política Pública de salud sexual y reproductiva del Departamento de Caldas,Colombia,Mayo-2023,ASAMBLEA DE CALDAS,ROBERTO MAURICIO ROMERO CARDENAS,2
00008,002,Regulaciones y Normas,Social,"POLÍTICA PÚBLICA DE PRIMERA INFANCIA, INFANCIA, ADOLESCENCIA Y FORTALECIMIENTO FAMILIAR PARA EL DEPARTAMENTO DE CALDAS Y SUS 27 MUNICIPIOS, 2022-2032",Colombia,Septiembre-2022,ASAMBLEA DE CALDAS,"ROBERTO MAURICIO ROMERO CARDENAS, JENNIFFER LONDONO JURADO",2
00009,002,Regulaciones y Normas,Educativa,"Resultados de Aprendizaje, Competencias, y Perfil del Graduado Acta 04, del 12 de mayo de 2022. Consejo de Facultad de la Facultad De Derecho y Ciencias Políticas",Colombia,Enero-2022,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00010,002,Regulaciones y Normas,Educativa,Estudios Curriculares	Acta 02 del 10 de septiembre de 2021,Colombia,Septiembre-2021,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00011,002,Regulaciones y Normas,Educativa,"Proyecto Educativo de Facultad (PEF) Resolución No. 45 de 2021, Consejo de Facultad de la Facultad De Derecho y Ciencias Políticas",Colombia,Agosto-2021,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00012,002,Regulaciones y Normas,Educativa,Estructura Curricular del Programa de Derecho. Acta 01 del 22 de febrero de 2021,Colombia,Febrero-2021,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00013,002,Regulaciones y Normas,Educativa,RESOLUCIÓN CONSEJO DE FACULTAD DE LA FACULTAD DE DERECHO Y CIENCIAS POLÍTICAS No. 03 DE 2020,Colombia,Febrero-2020,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00014,002,Regulaciones y Normas,Educativa,"Proyecto Educativo de Programa (PEP) Resolución No. 112 de 2020, Consejo de Facultad de la Facultad De Derecho y Ciencias Políticas",Colombia,Enero-2020,UNIVERSIDAD CATOLICA LUIS AMIGO,JUAN ESTEBAN AGUIRRE ESPINOSA,2
00015,003,Regulaciones y Normas,Social,"Regulaciones para aplicación de protocolos de psicología del consumidor en empleado y funcionarios de pequeñas empresas. Medellín, Antioquia. Noviembre de 2018",Colombia,Noviembre-2018,Institución Universitaria Marco Fidel Suárez,"SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS",2
00016,003,Regulaciones y Normas,Educativa,"Regulaciones para evaluación de aspectos de neuropsicoeducación en empleados y funcionarios de pequeñas empresas. Medellín, Antioquia. Octubre 30 de 2018",Colombia,Octubre-2018,Institución Universitaria Marco Fidel Suárez,"SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS",2
00017,003,Regulaciones y Normas,Educativa,"Regulaciones para evaluación psicomotriz y lectoescritora de empleados y funcionarios de pequeñas empresas. Medellín, Antioquia. Septiembre 28 de 2018.",Colombia,Septiembre-2018,Institución Universitaria Marco Fidel Suárez,"SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS",2
00018,003,Regulaciones y Normas,Educativa,"Regulaciones para el acceso a servicios de atención psicológica a empleados y funcionarios de pequeñas empresas. Medellín, Antioquia. Agosto 27 de 2018.",Colombia,Agosto-2018,Institución Universitaria Marco Fidel Suárez,"SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS",2
00019,003,Regulaciones y Normas,Educativa,"Regulaciones para la gerencia y dirección de proyectos en pequeñas empresas. Medellín, Antioquia. Julio 15 de 2018.",Colombia,Julio-2018,Institución Universitaria Marco Fidel Suárez,"SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS",2
00020,003,Regulaciones y Normas,Educativa,"Regulaciones para atención de calidad al cliente en pequeñas empresas. Medellín, Antioquia. Junio 23 de 2018.",Colombia,Junio-2018,Institución Universitaria Marco Fidel Suárez,"SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS",2
00021,003,Regulaciones y Normas,Educativa,"Regulaciones para delimitar las relaciones formales e informales dentro de las pequeñas empresas. Medellín, Antioquia. Mayo 16 de 2018.",Colombia,Mayo-2018,Institución Universitaria Marco Fidel Suárez,"SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS",2
