id,id_grupo,categoria,tipo_producto,titulo,pais,ano,tipologia
00001,001,Signos distintivos,,,,,2
00002,002,Signos distintivos,,,,,2
00003,003,Signos distintivos,,,,,2
00004,004,Signos distintivos,Marcas,Pet Natural Food,Colombia,2016,2
00005,005,Signos distintivos,,,,,2
00006,006,Signos distintivos,Marcas,EscriLAB - Laboratorio de Escritura Cientifica,Colombia,2023,2
00007,007,Signos distintivos,,,,,2
00008,008,Signos distintivos,,,,,2
00009,009,Signos distintivos,,,,,2
00010,010,Signos distintivos,,,,,2
00011,011,Signos distintivos,Marcas,Apprevenir,Colombia,2019,2
00012,012,Signos distintivos,Marcas,Registro de la Marca Apprevenir (Mixta),Colombia,2019,2
00013,013,Signos distintivos,,,,,2
00014,014,Signos distintivos,,,,,2
