id,id_grupo,categoria,tipo_producto,titulo,ano,revista,autores,tipologia
00001,001,Traducciones,,,,,,2
00002,002,Traducciones,,,,,,2
00003,003,Traducciones,,,,,,2
00004,004,Traducciones,Libro,Les cooperatives l´an 2000,2021,,HERNANDO EMILIO ZABALA SALAZAR,2
00005,004,Traducciones,Otra,Economía de la Salud,1999,,LUZ DOLLY LOPERA GARCIA,2
00006,005,Traducciones,,,,,,2
00007,006,Traducciones,,,,,,2
00008,007,Traducciones,,,,,,2
00009,008,Traducciones,,,,,,2
00010,009,Traducciones,,,,,,2
00011,010,Traducciones,,,,,,2
00012,011,Traducciones,,,,,,2
00013,012,Traducciones,,,,,,2
00014,013,Traducciones,,,,,,2
00015,014,Traducciones,,,,,,2
